scheduled team,match ratio,stats team,corrected stats team
Norfolk State Spartans,74,NORFOLK STATE,
North Carolina A&T Aggies,84,NORTH CAROLINA A&T,
North Carolina Central Eagles,86,NORTH CAROLINA CENTRAL,
North Carolina Tar Heels,81,NORTH CAROLINA A&T,NORTH CAROLINA
North Dakota Fighting Hawks,67,NORTH DAKOTA STATE,NORTH DAKOTA
North Texas Mean Green,67,NORTH TEXAS,
Northern Arizona Lumberjacks,73,NORTHERN ARIZONA,
Northern Illinois Huskies,81,NORTHERN ILLINOIS,
Northern Iowa Panthers,74,NORTHERN IOWA,
Northwestern State Demons,83,NORTHWESTERN STATE-LA,
Northwestern Wildcats,79,NORTHWESTERN-IOWA,NORTHWESTERN
Notre Dame Fighting Irish,62,NOTRE DAME - OHIO,NOTRE DAME
Ohio Bobcats,64,OHIO STATE,OHIO UNIV.
Ohio State Buckeyes,69,OHIO STATE,
Oklahoma Sooners,73,OKLAHOMA STATE,OKLAHOMA
Oklahoma State Cowboys,78,OKLAHOMA STATE,
Old Dominion Monarchs,73,OLD DOMINION,
Ole Miss Rebels,50,BOWLING GREEN,MISSISSIPPI
Oregon Ducks,67,OREGON,
Oregon State Beavers,75,OREGON STATE,
Penn State Nittany Lions,59,PENN STATE,
Pittsburgh Panthers,76,PITTSBURG STATE,PITTSBURGH
Portland State Vikings,78,PORTLAND STATE,
Prairie View Panthers,76,PRAIRIE VIEW A&M,
Purdue Boilermakers,48,PURDUE,
Rhode Island Rams,83,RHODE ISLAND,
Rice Owls,62,NICHOLS,RICE
Richmond Spiders,67,RICHMOND,
Rutgers Scarlet Knights,50,SOUTHERN ARKANSAS,RUTGERS
SMU Mustangs,61,SAM HOUSTON,SOUTHERN METHODIST
Sacramento State Hornets,60,MONTANA STATE-NORTH,CAL-SACRAMENTO
Samford Bulldogs,61,SAMFORD,
San Diego State Aztecs,81,SAN DIEGO STATE,
San Jose State Spartans,76,SAN JOSE STATE,
Savannah State Tigers,80,SAVANNAH STATE,
South Alabama Jaguars,76,SOUTH ALABAMA,
South Carolina Gamecocks,77,SOUTH CAROLINA STATE,SOUTH CAROLINA
South Carolina State Bulldogs,82,SOUTH CAROLINA STATE,
South Dakota Coyotes,81,SOUTH DAKOTA TECH,SOUTH DAKOTA
South Dakota State Jackrabbits,75,SOUTH DAKOTA STATE,
South Florida Bulls,81,SOUTH FLORIDA,
Southeast Missouri State Redhawks,67,NORTHWEST MISSOURI ST.,SOUTH EASTERN MISSOURI
Southeastern Louisiana Lions,70,SO. EAST LOUISIANA,
Southern Illinois Salukis,81,SOUTHERN ILLINOIS,
Southern Jaguars,76,SOUTHERN UTAH,SOUTHERN UNIVERSITY
Southern Mississippi Golden Eagles,74,SOUTHERN MISSISSIPPI,
Southern Utah Thunderbirds,67,SOUTHERN UTAH,
Stanford Cardinal,65,NORTH CAROLINA,STANFORD
Stephen F. Austin Lumberjacks,52,ST. AUGUSTINE,S.F.AUSTIN
Stony Brook Seawolves,69,STONY BROOK,
Syracuse Orange,70,SYRACUSE,
TBD,50,TABOR,
TCU Horned Frogs,47,CHOWAN COLLEGE,TEXAS CHRISTIAN
Temple Owls,71,TEMPLE,
Tennessee State Tigers,81,TENNESSEE STATE,
Tennessee Tech Golden Eagles,67,TENNESSEE TECH,
Tennessee Volunteers,71,TENNESSEE TECH,TENNESSEE
Texas A&M Aggies,72,TEXAS A&M,
Texas Longhorns,69,TEXAS LUTHERAN,TEXAS
Texas Southern Tigers,80,TEXAS SOUTHERN,
Texas State Bobcats,68,TEXAS STATE-SAN MARCOS,
Texas Tech Red Raiders,62,TEXAS TECH,
The Citadel Bulldogs,71,THE CITADEL,
Toledo Rockets,60,TOLEDO,
Towson Tigers,63,TOWSON,
Troy Trojans,64,TROY STATE,
Tulane Green Wave,53,BOWLING GREEN,TULANE
Tulsa Golden Hurricane,51,ABILENE CHRISTIAN,TULSA
UAB Blazers,50,BAKER,ALABAMA-BIRMINGHAM
UC Davis Aggies,58,CAL-DAVIS,
UCF Knights,50,SIENA HEIGHTS,CENTRAL FLORIDA
UCLA Bruins,67,CLARION,U.C.L.A.
UConn Huskies,54,JOHNS HOPKINS,CONNECTICUT
