Index,BPI,teamrankings,Ranking,Class,PLpG3,PTpP3,OPLpG3,OPTpP3
77,NORTH TEXAS,North Texas,73.7,DIVISION 1  FBS,--,--,--,--
78,NORTHERN ILLINOIS,N Illinois,78.3,DIVISION 1  FBS,--,--,--,--
79,NORTHWESTERN,Northwestern,95.7,DIVISION 1  FBS,--,--,--,--
80,NOTRE DAME,Notre Dame,106.1,DIVISION 1  FBS,--,--,--,--
81,OHIO STATE,Ohio State,109.9,DIVISION 1  FBS,--,--,--,--
82,OHIO UNIV.,Ohio,95.6,DIVISION 1  FBS,--,--,--,--
83,OKLAHOMA,Oklahoma,110.6,DIVISION 1  FBS,--,--,--,--
84,OKLAHOMA STATE,Oklahoma St,99.8,DIVISION 1  FBS,--,--,--,--
85,OLD DOMINION,Old Dominion,69.4,DIVISION 1  FBS,--,--,--,--
86,OREGON,Oregon,96.2,DIVISION 1  FBS,--,--,--,--
87,OREGON STATE,Oregon St,69.4,DIVISION 1  FBS,--,--,--,--
88,PENN STATE,Penn State,105.5,DIVISION 1  FBS,--,--,--,--
89,PITTSBURGH,Pittsburgh,94.0,DIVISION 1  FBS,--,--,--,--
90,PURDUE,Purdue,87.6,DIVISION 1  FBS,--,--,--,--
91,RICE,Rice,64.0,DIVISION 1  FBS,--,--,--,--
92,RUTGERS,Rutgers,79.3,DIVISION 1  FBS,--,--,--,--
93,SAN DIEGO STATE,San Diego St,77.5,DIVISION 1  FBS,--,--,--,--
94,SAN JOSE STATE,San Jose St,70.7,DIVISION 1  FBS,--,--,--,--
95,SOUTH ALABAMA,S Alabama,62.0,DIVISION 1  FBS,--,--,--,--
96,SOUTH CAROLINA,S Carolina,89.9,DIVISION 1  FBS,--,--,--,--
97,SOUTH FLORIDA,S Florida,74.5,DIVISION 1  FBS,--,--,--,--
98,SOUTHERN MISSISSIPPI,S Mississippi,79.9,DIVISION 1  FBS,--,--,--,--
99,SOUTHERN CALIFORNIA,USC,91.8,DIVISION 1  FBS,--,--,--,--
100,SOUTHERN METHODIST,S Methodist,79.9,DIVISION 1  FBS,--,--,--,--
101,STANFORD,Stanford,96.7,DIVISION 1  FBS,--,--,--,--
102,SYRACUSE,Syracuse,101.5,DIVISION 1  FBS,--,--,--,--
103,TEMPLE,Temple,87.8,DIVISION 1  FBS,--,--,--,--
104,TENNESSEE,Tennessee,82.8,DIVISION 1  FBS,--,--,--,--
105,TEXAS,Texas,105.2,DIVISION 1  FBS,--,--,--,--
106,TEXAS STATE-SAN MARCOS,Texas State,63.9,DIVISION 1  FBS,--,--,--,--
107,TEXAS A&M,Texas A&M,106.3,DIVISION 1  FBS,--,--,--,--
108,TEXAS CHRISTIAN,TX Christian,93.2,DIVISION 1  FBS,--,--,--,--
109,TEXAS TECH,Texas Tech,94.7,DIVISION 1  FBS,--,--,--,--
110,TEXAS-EL PASO,TX El Paso,55.9,DIVISION 1  FBS,--,--,--,--
111,TEXAS-SAN ANTONIO,TX-San Ant,59.7,DIVISION 1  FBS,--,--,--,--
112,TOLEDO,Toledo,84.7,DIVISION 1  FBS,--,--,--,--
113,TROY STATE,Troy,82.6,DIVISION 1  FBS,--,--,--,--
114,TULANE,Tulane,81.7,DIVISION 1  FBS,--,--,--,--
115,TULSA,Tulsa,76.3,DIVISION 1  FBS,--,--,--,--
116,U.C.L.A.,UCLA,86.5,DIVISION 1  FBS,--,--,--,--
117,UNC - CHARLOTTE,Charlotte,71.0,DIVISION 1  FBS,--,--,--,--
118,UTAH,Utah,96.8,DIVISION 1  FBS,--,--,--,--
119,UTAH STATE,Utah State,97.8,DIVISION 1  FBS,--,--,--,--
120,VANDERBILT,Vanderbilt,92.1,DIVISION 1  FBS,--,--,--,--
121,VIRGINIA,Virginia,95.4,DIVISION 1  FBS,--,--,--,--
122,VIRGINIA TECH,VA Tech,88.1,DIVISION 1  FBS,--,--,--,--
123,WAKE FOREST,Wake Forest,94.2,DIVISION 1  FBS,--,--,--,--
124,WASHINGTON,Washington,103.1,DIVISION 1  FBS,--,--,--,--
125,WASHINGTON STATE,Wash State,101.1,DIVISION 1  FBS,--,--,--,--
126,WEST VIRGINIA,W Virginia,102.6,DIVISION 1  FBS,--,--,--,--
127,WESTERN KENTUCKY,W Kentucky,72.5,DIVISION 1  FBS,--,--,--,--
128,WESTERN MICHIGAN,W Michigan,70.1,DIVISION 1  FBS,--,--,--,--
129,WISCONSIN,Wisconsin,96.3,DIVISION 1  FBS,--,--,--,--
130,WYOMING,Wyoming,84.7,DIVISION 1  FBS,--,--,--,--
131,HAWAII,?,69.1,DIVISION 1  FBS,0,0,0,0
