Index,BPI,teamrankings,scheduled,abbr team,abbr,class
163,CONCORDIA STATE-ST.PAUL,?,?,?,?,DIVISION 2
164,CROOKSTON-MINNESOTA,?,?,?,?,DIVISION 2
165,DAVENPORT MI,?,?,?,?,DIVISION 2
166,DELTA STATE,?,?,?,?,DIVISION 2
167,DIXIE STATE-UTAH,?,?,?,?,DIVISION 2
168,DULUTH-MINNESOTA,?,?,?,?,DIVISION 2
169,EAST CENTRAL-OKLAHOMA,?,?,?,?,DIVISION 2
170,EAST STROUDSBURG,?,?,?,?,DIVISION 2
171,EASTERN NEW MEXICO,?,?,?,?,DIVISION 2
172,EDINBORO UNIVERSITY,?,?,?,?,DIVISION 2
173,ELIZABETH CITY STATE,?,?,?,?,DIVISION 2
174,EMPORIA STATE,?,?,?,?,DIVISION 2
175,FAIRMONT STATE,?,?,Sacramento State,SAC,DIVISION 2
176,FAYETTEVILLE STATE,?,?,?,?,DIVISION 2
177,FERRIS STATE,?,?,?,?,DIVISION 2
178,FINDLAY,?,?,?,?,DIVISION 2
179,FLORIDA TECH,?,?,?,?,DIVISION 2
180,FORT HAYS STATE,?,?,?,?,DIVISION 2
181,FORT LEWIS,?,?,Ole Miss,MISS,DIVISION 2
182,FORT VALLEY STATE,?,?,?,?,DIVISION 2
183,GANNON,?,?,?,?,DIVISION 2
184,GLENVILLE STATE,?,?,?,?,DIVISION 2
185,GRAND VALLEY STATE,?,Grand Valley State Lakers,?,?,DIVISION 2
186,HARDING,?,?,?,?,DIVISION 2
187,HENDERSON STATE,?,?,?,?,DIVISION 2
188,HILLSDALE COLLEGE,?,?,?,?,DIVISION 2
189,HUMBOLDT STATE,?,?,?,?,DIVISION 2
190,INDIANA-PA.,?,?,?,?,DIVISION 2
191,INDIANAPOLIS,?,?,?,?,DIVISION 2
192,JOHNSON C. SMITH,?,?,?,?,DIVISION 2
193,KENTUCKY STATE,?,Kentucky Wildcats,?,?,DIVISION 2
194,KENTUCKY WESLEYAN,?,?,?,?,DIVISION 2
195,KUTZTOWN UNIVERSITY,?,?,?,?,DIVISION 2
196,L.I.U. - POST,?,?,?,?,DIVISION 2
197,LAKE ERIE,?,?,?,?,DIVISION 2
198,LANE COLLEGE,?,?,?,?,DIVISION 2
199,LENOIR-RHYNE,?,?,?,?,DIVISION 2
200,LIMESTONE,?,?,?,?,DIVISION 2
201,LINCOLN-MO.,?,?,?,?,DIVISION 2
202,LINCOLN-PA,?,?,?,?,DIVISION 2
203,LINDENWOOD - MO,?,?,?,?,DIVISION 2
204,LIVINGSTONE COLLEGE,?,?,?,?,DIVISION 2
205,LOCK HAVEN,?,?,?,?,DIVISION 2
206,MALONE,?,?,?,?,DIVISION 2
207,MARS HILL,?,?,?,?,DIVISION 2
208,MARY,?,?,?,?,DIVISION 2
209,McKENDREE,?,?,?,?,DIVISION 2
210,MERCYHURST,?,?,?,?,DIVISION 2
211,MERRIMACK,?,?,?,?,DIVISION 2
212,MESA STATE-COLORADO,?,?,?,?,DIVISION 2
213,MICHIGAN TECH,?,?,?,?,DIVISION 2
214,MIDWESTERN STATE,?,?,?,?,DIVISION 2
215,MILES COLLEGE,?,?,?,?,DIVISION 2
216,MILLERSVILLE,?,?,?,?,DIVISION 2
217,MINNESOTA STATE- MANKATO,?,?,?,?,DIVISION 2
218,MINOT STATE,?,?,?,?,DIVISION 2
219,MISSOURI S&T,?,?,?,?,DIVISION 2
220,MISSOURI SOUTHERN ,?,?,?,?,DIVISION 2
221,MISSOURI WESTERN,?,?,?,?,DIVISION 2
222,MOORHEAD ST.-MINNESOTA,?,?,?,?,DIVISION 2
223,MOREHOUSE COLLEGE,?,?,?,?,DIVISION 2
224,NEBRASKA KEARNEY,?,?,?,?,DIVISION 2
225,NEW HAVEN,?,?,?,?,DIVISION 2
226,NEW MEXICO HIGHLANDS,?,?,?,?,DIVISION 2
227,NEWBERRY,?,?,?,?,DIVISION 2
228,NO. EAST OKLAHOMA ST.,?,?,?,?,DIVISION 2
229,NO.WEST OKLAHOMA,?,?,?,?,DIVISION 2
230,NORTH GREENVILLE-S.C.,?,?,?,?,DIVISION 2
231,NORTHERN MICHIGAN,?,?,?,?,DIVISION 2
232,NORTHERN STATE - SD,?,?,?,?,DIVISION 2
233,NORTHWEST MISSOURI ST.,?,?,?,?,DIVISION 2
234,NORTHWOOD,?,?,?,?,DIVISION 2
235,NOTRE DAME - OHIO,?,Notre Dame Fighting Irish,?,?,DIVISION 2
236,OHIO DOMINICAN,?,?,?,?,DIVISION 2
237,OKLAHOMA BAPTIST,?,?,?,?,DIVISION 2
238,OUACHITA BAPTIST,?,?,?,?,DIVISION 2
239,PACE,?,?,?,?,DIVISION 2
240,PITTSBURG STATE,?,?,?,?,DIVISION 2
241,QUINCY UNIVERSITY,?,?,?,?,DIVISION 2
242,SAGINAW VALLEY STATE,?,?,?,?,DIVISION 2
243,SAINT CLOUD STATE,?,?,?,?,DIVISION 2
244,SETON HILL,?,?,?,?,DIVISION 2
245,SHAW,?,?,?,?,DIVISION 2
246,SHEPHERD COLLEGE,?,?,?,?,DIVISION 2
247,SHIPPENSBURG,?,?,?,?,DIVISION 2
248,SHORTER,?,?,?,?,DIVISION 2
249,SIMON FRASER,?,?,?,?,DIVISION 2
250,SIOUX FALLS,?,?,?,?,DIVISION 2
251,SLIPPERY ROCK,?,?,?,?,DIVISION 2
252,SO. EAST. OKLAHOMA ST.,?,?,?,?,DIVISION 2
253,SO. WEST. OKLAHOMA ST.,?,?,?,?,DIVISION 2
254,SO.WESTERN STATE-MINNE.,?,?,?,?,DIVISION 2
255,SOUTH DAKOTA TECH,?,?,?,?,DIVISION 2
256,SOUTHERN ARKANSAS,?,?,?,?,DIVISION 2
257,SOUTHERN CONNECTICUT,?,?,?,?,DIVISION 2
258,SOUTHERN NAZARENE,?,?,?,?,DIVISION 2
259,SOUTHWEST BAPTIST,?,?,?,?,DIVISION 2
260,ST. AUGUSTINE,?,?,?,?,DIVISION 2
261,ST.ANSELM,?,?,?,?,DIVISION 2
262,STONEHILL COLLEGE,?,?,?,?,DIVISION 2
263,TAMU - COMMERCE,?,?,?,?,DIVISION 2
264,TAMU - KINGSVILLE,?,?,?,?,DIVISION 2
265,TARLETON STATE,?,?,?,?,DIVISION 2
266,TEXAS PERMIAN BASIN,?,?,?,?,DIVISION 2
267,TIFFIN,?,?,?,?,DIVISION 2
268,TRUMAN STATE,?,?,?,?,DIVISION 2
269,TUSCULUM,?,?,?,?,DIVISION 2
270,TUSKEGEE UNIVERSITY,?,?,?,?,DIVISION 2
271,UNC-PEMBROKE,?,?,?,?,DIVISION 2
272,UPPER IOWA,?,?,?,?,DIVISION 2
273,URBANA,?,?,?,?,DIVISION 2
274,VALDOSTA STATE,?,?,?,?,DIVISION 2
275,VIRGINIA STATE,?,?,?,?,DIVISION 2
276,VIRGINIA UNION,?,?,?,?,DIVISION 2
277,VIRGINIA-WISE,?,?,?,?,DIVISION 2
278,WALSH,?,?,?,?,DIVISION 2
279,WASHBURN,?,?,?,?,DIVISION 2
280,WAYNE STATE-MICHIGAN,?,?,?,?,DIVISION 2
281,WAYNE STATE-NEBRASKA,?,?,?,?,DIVISION 2
282,WEST ALABAMA,?,?,?,?,DIVISION 2
283,WEST CHESTER,?,?,?,?,DIVISION 2
284,WEST FLORIDA,?,?,?,?,DIVISION 2
285,WEST GEORGIA,?,?,?,?,DIVISION 2
286,WEST LIBERTY STATE,?,?,?,?,DIVISION 2
287,WEST TEXAS A&M,?,?,?,?,DIVISION 2
288,WEST VIRGINIA STATE,?,West Virginia Mountaineers,?,?,DIVISION 2
289,WEST VIRGINIA WESLEYAN,?,?,?,?,DIVISION 2
290,WESTERN NEW MEXICO,?,?,?,?,DIVISION 2
291,WESTERN OREGON,?,?,?,?,DIVISION 2
292,WESTERN STATE-COLO.,?,?,?,?,DIVISION 2
293,WILLIAM JEWELL,?,?,?,?,DIVISION 2
294,WINGATE,?,?,?,?,DIVISION 2
295,WINONA STATE,?,?,?,?,DIVISION 2
296,WINSTON-SALEM,?,?,?,?,DIVISION 2
297,ADRIAN,?,?,?,?,DIVISION 3
298,ALBION,?,?,?,?,DIVISION 3
299,ALBRIGHT,?,?,?,?,DIVISION 3
300,ALFRED,?,?,?,?,DIVISION 3
301,ALFRED STATE,?,?,?,?,DIVISION 3
302,ALLEGHENY,?,?,?,?,DIVISION 3
303,ALMA,?,?,?,?,DIVISION 3
304,ALVERNIA,?,?,?,?,DIVISION 3
305,AMHERST,?,?,?,?,DIVISION 3
306,ANDERSON,?,?,?,?,DIVISION 3
307,ANNA MARIA,?,?,?,?,DIVISION 3
308,APPRENTICE-NEWPORT NEWS,?,?,?,?,DIVISION 3
309,AUGSBURG,?,?,?,?,DIVISION 3
310,AUGUSTANA-ILL.,?,?,?,?,DIVISION 3
311,AURORA,?,?,?,?,DIVISION 3
312,AUSTIN COLLEGE,?,Stephen F. Austin Lumberjacks,?,?,DIVISION 3
313,AVERETT COLLEGE,?,?,?,?,DIVISION 3
314,BALDWIN-WALLACE,?,?,?,?,DIVISION 3
315,BATES,?,?,?,?,DIVISION 3
316,BECKER,?,?,?,?,DIVISION 3
317,BELHAVEN,?,?,?,?,DIVISION 3
318,BELOIT,?,?,?,?,DIVISION 3
319,BENEDICTINE-ILL.,?,?,?,?,DIVISION 3
320,BERRY,?,?,BYU,BYU,DIVISION 3
321,BETHANY-WEST VIRGINIA,?,?,?,?,DIVISION 3
322,BETHEL-MINNESOTA,?,?,?,?,DIVISION 3
323,BIRMINGHAM-SOUTHERN,?,?,?,?,DIVISION 3
324,BLUFFTON,?,?,?,?,DIVISION 3
325,BOWDOIN,?,?,?,?,DIVISION 3
326,BREVARD -NC,?,?,?,?,DIVISION 3
327,BRIDGEWATER-MASS.,?,?,?,?,DIVISION 3
328,BRIDGEWATER-VA.,?,?,?,?,DIVISION 3
329,BROCKPORT STATE,?,?,?,?,DIVISION 3
330,BUENA VISTA,?,?,?,?,DIVISION 3
331,BUFFALO STATE,?,?,?,?,DIVISION 3
332,CALIFORNIA LUTHERAN,?,?,?,?,DIVISION 3
333,CAPITAL,?,?,Cal,CAL,DIVISION 3
334,CARLETON,?,?,?,?,DIVISION 3
335,CARNEGIE MELLON,?,?,?,?,DIVISION 3
336,CARROLL-WISCONSIN,?,?,?,?,DIVISION 3
337,CARTHAGE,?,?,?,?,DIVISION 3
338,CASE WESTERN,?,?,?,?,DIVISION 3
339,CASTLETON STATE,?,?,?,?,DIVISION 3
340,CATHOLIC UNIVERSITY,?,?,?,?,DIVISION 3
341,CENTRAL COLLEGE-IOWA,?,?,?,?,DIVISION 3
342,CENTRE,?,?,?,?,DIVISION 3
