Index,BPI,teamrankings,scheduled,abbr team,abbr,class
385,GRINNELL,?,?,?,?,DIVISION 3
386,GROVE CITY,?,?,?,?,DIVISION 3
387,GUILFORD,?,?,?,?,DIVISION 3
388,GUSTAVUS ADOLPHUS,?,?,?,?,DIVISION 3
389,HAMILTON,?,?,?,?,DIVISION 3
390,HAMLINE,?,?,?,?,DIVISION 3
391,HAMPDEN-SYDNEY,?,?,?,?,DIVISION 3
392,HANOVER,?,?,?,?,DIVISION 3
393,HARDIN-SIMMONS,?,Hawaii Rainbow Warriors,?,?,DIVISION 3
394,HARTWICK,?,?,?,?,DIVISION 3
395,HEIDELBERG,?,?,?,?,DIVISION 3
396,HENDRIX,?,?,?,?,DIVISION 3
397,HIRAM,?,?,?,?,DIVISION 3
398,HOBART,?,?,?,?,DIVISION 3
399,HOPE,?,?,?,?,DIVISION 3
400,HOWARD PAYNE,?,?,?,?,DIVISION 3
401,HUNTINGDON-ALA.,?,?,?,?,DIVISION 3
402,HUSSON-MAINE,?,?,?,?,DIVISION 3
403,ILLINOIS COLLEGE,?,Illinois Fighting Illini,?,?,DIVISION 3
404,ILLINOIS WESLEYAN,?,?,?,?,DIVISION 3
405,IOWA-WESLEYAN,?,?,?,?,DIVISION 3
406,ITHACA,?,?,?,?,DIVISION 3
407,JOHN CARROLL,?,?,?,?,DIVISION 3
408,JOHNS HOPKINS,?,?,?,?,DIVISION 3
409,JUNIATA,?,?,?,?,DIVISION 3
410,KALAMAZOO,?,?,?,?,DIVISION 3
411,KEAN,?,?,?,?,DIVISION 3
412,KENYON,?,?,?,?,DIVISION 3
413,KING’S COLLEGE,?,?,?,?,DIVISION 3
414,KNOX,?,?,?,?,DIVISION 3
415,LA VERNE,?,?,?,?,DIVISION 3
416,LAGRANGE,?,?,?,?,DIVISION 3
417,LAKE FOREST,?,?,?,?,DIVISION 3
418,LAKELAND COLLEGE,?,?,?,?,DIVISION 3
419,LAWRENCE,?,?,?,?,DIVISION 3
420,LEBANON VALLEY,?,?,?,?,DIVISION 3
421,LEWIS & CLARK,?,?,?,?,DIVISION 3
422,LINFIELD,?,?,?,?,DIVISION 3
423,LORAS,?,?,?,?,DIVISION 3
424,LOUISIANA COLLEGE,?,Louisiana Ragin Cajuns,LOUISIANA COLLEGE,LC,DIVISION 3
425,LUTHER,?,?,?,?,DIVISION 3
426,LYCOMING,?,?,?,?,DIVISION 3
427,M.I.T.,?,?,?,?,DIVISION 3
428,MACALESTER,?,?,?,?,DIVISION 3
429,MACMURRAY,?,?,?,?,DIVISION 3
430,MAINE MARITIME,?,?,?,?,DIVISION 3
431,MANCHESTER COLLEGE,?,?,?,?,DIVISION 3
432,MARIETTA,?,?,?,?,DIVISION 3
433,MARTIN LUTHER-MN,?,?,?,?,DIVISION 3
434,MARY HARDIN BAYLOR,?,?,?,?,DIVISION 3
435,MARYVILLE COLLEGE,?,?,?,?,DIVISION 3
436,MASS-MARITIME,?,?,?,?,DIVISION 3
437,McDANIEL,?,?,?,?,DIVISION 3
438,McMURRY,?,?,?,?,DIVISION 3
439,MERCHANT MARINE,?,?,?,?,DIVISION 3
440,METHODIST COLLEGE,?,?,?,?,DIVISION 3
441,MIDDLEBURY,?,?,?,?,DIVISION 3
442,MILLIKIN,?,?,?,?,DIVISION 3
443,MILLSAPS,?,?,?,?,DIVISION 3
444,MISERICORDIA,?,?,?,?,DIVISION 3
445,MISSISSIPPI COLLEGE,?,?,?,?,DIVISION 3
446,MONMOUTH-IL,?,Monmouth Hawks,Monmouth,MONM,DIVISION 3
447,MONTCLAIR,?,?,?,?,DIVISION 3
448,MORAVIAN,?,?,?,?,DIVISION 3
449,MORRIS-MINNESOTA,?,?,?,?,DIVISION 3
450,MORRISVILLE STATE - NY,?,?,?,?,DIVISION 3
451,MOUNT SAINT JOSEPH,?,?,?,?,DIVISION 3
452,MOUNT UNION,?,?,?,?,DIVISION 3
453,MUHLENBERG COLLEGE,?,?,?,?,DIVISION 3
454,MUSKINGUM,?,?,?,?,DIVISION 3
455,NEBRASKA WESLEYAN,?,?,?,?,DIVISION 3
456,NEW JERSEY,?,?,?,?,DIVISION 3
457,NICHOLS,?,?,?,?,DIVISION 3
458,NORTH CENTRAL-ILL,?,?,?,?,DIVISION 3
459,NORTH PARK,?,?,?,?,DIVISION 3
460,NORTHWESTERN-MN.,?,?,?,?,DIVISION 3
461,NORWICH,?,?,?,?,DIVISION 3
462,OBERLIN,?,?,?,?,DIVISION 3
463,OCCIDENTAL,?,?,NC Central,NCCU,DIVISION 3
464,OHIO NORTHERN,?,?,?,?,DIVISION 3
465,OHIO WESLYAN,?,?,?,?,DIVISION 3
466,OLIVET,?,?,?,?,DIVISION 3
467,OTTERBEIN,?,?,?,?,DIVISION 3
468,PACIFIC - OR,?,?,?,?,DIVISION 3
469,PACIFIC LUTHERAN,?,?,?,?,DIVISION 3
470,PLYMOUTH STATE,?,?,?,?,DIVISION 3
471,POMONA PITZER,?,?,?,?,DIVISION 3
472,PUGET SOUND,?,?,?,?,DIVISION 3
473,RANDOLPH-MACON,?,?,?,?,DIVISION 3
474,REDLANDS,?,?,?,?,DIVISION 3
475,RENSSELAER POLY-TECH,?,?,?,?,DIVISION 3
476,RHODES COLLEGE,?,?,?,?,DIVISION 3
477,RIPON,?,?,?,?,DIVISION 3
478,ROCHESTER,?,?,?,?,DIVISION 3
479,ROCKFORD,?,?,?,?,DIVISION 3
480,ROSE-HULMAN,?,?,?,?,DIVISION 3
481,ROWAN,?,?,?,?,DIVISION 3
482,SALISBURY,?,?,?,?,DIVISION 3
483,SALVE REGINA,?,?,?,?,DIVISION 3
484,SEWANEE,?,?,?,?,DIVISION 3
485,SHENANDOAH COLLEGE,?,?,?,?,DIVISION 3
486,SIMPSON,?,?,?,?,DIVISION 3
487,SOUTHERN VIRGINIA,?,?,?,?,DIVISION 3
488,SOUTHWESTERN - TX,?,?,?,?,DIVISION 3
489,SPRINGFIELD,?,?,?,?,DIVISION 3
490,ST. JOHN FISHER,?,?,?,?,DIVISION 3
491,ST. LAWRENCE,?,?,?,?,DIVISION 3
492,ST. SCHOLASTICA,?,?,?,?,DIVISION 3
493,ST. VINCENT,?,?,?,?,DIVISION 3
494,ST.JOHNS-MINNESOTA,?,?,?,?,DIVISION 3
495,ST.NORBERT,?,?,?,?,DIVISION 3
496,ST.OLAF,?,?,?,?,DIVISION 3
497,ST.THOMAS,?,?,?,?,DIVISION 3
498,STEVENSON,?,?,?,?,DIVISION 3
499,SUL ROSS STATE,?,?,?,?,DIVISION 3
500,SUNY - MARITIME,?,?,?,?,DIVISION 3
501,SUSQUEHANNA,?,?,?,?,DIVISION 3
502,TEXAS LUTHERAN,?,?,?,?,DIVISION 3
503,THIEL,?,?,?,?,DIVISION 3
504,THOMAS MORE,?,?,?,?,DIVISION 3
505,TRINE,?,?,?,?,DIVISION 3
506,TRINITY COLLEGE - CT,?,?,?,?,DIVISION 3
507,TRINITY-TEXAS,?,?,?,?,DIVISION 3
508,TUFTS,?,?,?,?,DIVISION 3
509,U O F NEW ENGLAND,?,?,?,?,DIVISION 3
510,UNION COLLEGE-NY ,?,?,?,?,DIVISION 3
511,URSINUS COLLEGE,?,?,?,?,DIVISION 3
512,UTICA,?,?,?,?,DIVISION 3
513,WABASH,?,?,?,?,DIVISION 3
514,WARTBURG,?,?,?,?,DIVISION 3
515,WASHINGTON & JEFFERSON,?,?,?,?,DIVISION 3
516,WASHINGTON & LEE,?,?,?,?,DIVISION 3
517,WASHINGTON-MO.,?,?,?,?,DIVISION 3
518,WAYNESBURG,?,?,?,?,DIVISION 3
519,WESLEY COLLEGE,?,?,?,?,DIVISION 3
520,WESLEYAN-CONN.,?,?,?,?,DIVISION 3
521,WESLEYAN-NORTH CAROLINA,?,?,?,?,DIVISION 3
522,WESTERN CONNECTICUT,?,?,?,?,DIVISION 3
523,WESTERN NEW ENGLAND,?,?,?,?,DIVISION 3
524,WESTFIELD-MASS.,?,?,?,?,DIVISION 3
525,WESTMINSTER-MO.,?,?,?,?,DIVISION 3
526,WESTMINSTER-PA,?,?,?,?,DIVISION 3
527,WHEATON COLLEGE,?,?,?,?,DIVISION 3
528,WHITTIER COLLEGE,?,?,?,?,DIVISION 3
529,WHITWORTH,?,?,?,?,DIVISION 3
530,WIDENER,?,?,?,?,DIVISION 3
531,WILKES,?,?,WKU,WKU,DIVISION 3
532,WILLAMETTE,?,?,?,?,DIVISION 3
533,WILLIAM PATERSON,?,?,?,?,DIVISION 3
534,WILLIAMS COLLEGE,?,?,?,?,DIVISION 3
535,WILMINGTON OHIO,?,?,?,?,DIVISION 3
536,WISCONSIN-EAU CLAIRE,?,?,?,?,DIVISION 3
537,WISCONSIN-La CROSSE,?,?,?,?,DIVISION 3
538,WISCONSIN-LUTHERAN,?,?,?,?,DIVISION 3
539,WISCONSIN-OSHKOSH,?,?,?,?,DIVISION 3
540,WISCONSIN-PLATTEVILLE,?,?,?,?,DIVISION 3
541,WISCONSIN-RIVER FALLS,?,?,?,?,DIVISION 3
542,WISCONSIN-STEVENS POINT,?,?,?,?,DIVISION 3
543,WISCONSIN-STOUT,?,?,?,?,DIVISION 3
544,WISCONSIN-WHITEWATER,?,?,?,?,DIVISION 3
545,WITTENBERG,?,?,?,?,DIVISION 3
546,WOOSTER,?,?,?,?,DIVISION 3
547,WORCESTER STATE,?,?,?,?,DIVISION 3
548,WORCESTER TECH (W.P.I.),?,?,?,?,DIVISION 3
549,ABILENE CHRISTIAN,?,Abilene Christian Wildcats,Abilene Christian,ACU,Championship Subdivision
550,ALABAMA A&M,?,Alabama A&M Bulldogs,Alabama A&M,AAMU,Championship Subdivision
551,ALABAMA STATE,?,Alabama State Hornets,Alabama State,ALST,Championship Subdivision
552,ALBANY-NY,?,Albany Great Danes,Albany,ALBY,Championship Subdivision
553,ALCORN STATE,?,Alcorn State Braves,Alcorn State,ALCN,Championship Subdivision
554,AUSTIN PEAY,?,Austin Peay Governors,Austin Peay,PEAY,Championship Subdivision
555,BETHUNE-COOKMAN,?,Bethune-Cookman Wildcats,Bethune-Cookman,BCU,Championship Subdivision
556,BROWN,?,?,Brown,BRWN,Championship Subdivision
557,BRYANT COLLEGE,?,?,Bryant,BRY,Championship Subdivision
558,BUCKNELL,?,?,Bucknell,BUCK,Championship Subdivision
559,BUTLER,?,?,Butler,BUT,Championship Subdivision
560,CAL-DAVIS,?,UC Davis Aggies,UC Davis,UCD,Championship Subdivision
561,CAL-POLY (SAN LOUIS OBISPO),?,?,?,?,Championship Subdivision
562,CAL-SACRAMENTO,?,Sacramento State Hornets,?,?,Championship Subdivision
563,CAMPBELL,?,?,Campbell,CAMP,Championship Subdivision
564,CENTRAL ARKANSAS,?,Central Arkansas Bears,Central Arkansas,UCA,Championship Subdivision
565,CENTRAL CONNECTICUT STATE,?,Central Connecticut Blue Devils,Central Connecticut,CCSU,Championship Subdivision
566,CHARLESTON SOUTHERN,?,Charleston Southern Buccaneers,Charleston Southern,CHSO,Championship Subdivision
567,CHATTANOOGA-TENNESSEE,?,Chattanooga Mocs,Chattanooga,CHAT,Championship Subdivision
568,COLGATE,?,Colgate Raiders,Colgate,COLG,Championship Subdivision
569,COLUMBIA,?,?,Columbia,CLMB,Championship Subdivision
570,CORNELL,?,?,Cornell,COR,Championship Subdivision
571,DARTMOUTH,?,?,Dartmouth,DART,Championship Subdivision
572,DAVIDSON,?,?,Davidson,DAV,Championship Subdivision
573,DAYTON,?,?,Dayton,DAY,Championship Subdivision
574,DELAWARE,?,?,Delaware,DEL,Championship Subdivision
575,DELAWARE STATE,?,Delaware State Hornets,Delaware State,DSU,Championship Subdivision
576,DRAKE,?,?,Drake,DRKE,Championship Subdivision
577,DUQUESNE,?,Duquesne Dukes,Duquesne,DUQ,Championship Subdivision
578,EAST TENNESSEE STATE,?,East Tennessee State Buccaneers,?,?,Championship Subdivision
579,EASTERN ILLINOIS,?,Eastern Illinois Panthers,Eastern Illinois,EIU,Championship Subdivision
580,EASTERN KENTUCKY,?,Eastern Kentucky Colonels,Eastern Kentucky,EKY,Championship Subdivision
581,EASTERN WASHINGTON,?,Eastern Washington Eagles,Eastern Washington,EWU,Championship Subdivision
582,ELON,?,Elon Phoenix,Elon,ELON,Championship Subdivision
583,FLORIDA A&M,?,Florida A&M Rattlers,Florida A&M,FAMU,Championship Subdivision
584,FORDHAM,?,Fordham Rams,Fordham,FOR,Championship Subdivision
585,FURMAN,?,Furman Paladins,Furman,FUR,Championship Subdivision
586,GARDNER-WEBB,?,Gardner-Webb Bulldogs,Gardner-Webb,WEBB,Championship Subdivision
587,GEORGETOWN-DC,?,?,Georgetown,GTWN,Championship Subdivision
588,GRAMBLING,?,Grambling Tigers,?,?,Championship Subdivision
589,HAMPTON,?,?,Hampton,HAMP,Championship Subdivision
590,HARVARD,?,?,Harvard,HARV,Championship Subdivision
591,HOLY CROSS,?,Holy Cross Crusaders,Holy Cross,HC,Championship Subdivision
592,HOUSTON BAPTIST,?,Houston Baptist Huskies,Houston Baptist,HBU,Championship Subdivision
593,HOWARD,?,Howard Bison,Howard,HOW,Championship Subdivision
594,IDAHO,?,Idaho Vandals,Idaho,IDHO,Championship Subdivision
595,IDAHO STATE,?,Idaho State Bengals,Idaho State,IDST,Championship Subdivision
596,ILLINOIS STATE,?,Illinois State Redbirds,Illinois State,ILST,Championship Subdivision
597,INCARNATE WORD,?,Incarnate Word Cardinals,Incarnate Word,IW,Championship Subdivision
598,INDIANA STATE,?,Indiana State Sycamores,Indiana State,INST,Championship Subdivision
599,JACKSON STATE,?,Jackson State Tigers,Jackson State,JKST,Championship Subdivision
600,JACKSONVILLE STATE,?,?,Jacksonville State,JVST,Championship Subdivision
601,JACKSONVILLE-FLA,?,?,Jacksonville,JAC,Championship Subdivision
602,JAMES MADISON,?,James Madison Dukes,James Madison,JMU,Championship Subdivision
603,KENNESAW STATE,?,Kennesaw State Owls,Kennesaw State,KENN,Championship Subdivision
604,LAFAYETTE,?,Lafayette Leopards,Lafayette,LAF,Championship Subdivision
605,LAMAR,?,Lamar Cardinals,Lamar,LAM,Championship Subdivision
606,LEHIGH,?,Lehigh Mountain Hawks,Lehigh,LEH,Championship Subdivision
607,MAINE,?,Maine Black Bears,Maine,MAINE,Championship Subdivision
608,MARIST,?,?,Marist,MRST,Championship Subdivision
609,MCNEESE STATE,?,McNeese Cowboys,McNeese State,MCNS,Championship Subdivision
610,MERCER,?,Mercer Bears,Mercer,MER,Championship Subdivision
611,MISSISSIPPI VALLEY STATE,?,?,Mississippi Valley State,MVSU,Championship Subdivision
612,MISSOURI STATE,?,Missouri State Bears,Missouri State,MOST,Championship Subdivision
613,MONMOUTH-NJ,?,?,?,?,Championship Subdivision
614,MONTANA,?,?,Montana,MONT,Championship Subdivision
615,MONTANA STATE,?,?,Montana State,MTST,Championship Subdivision
616,MOREHEAD STATE,?,?,Morehead State,MORE,Championship Subdivision
617,MORGAN STATE,?,Morgan State Bears,Morgan State,MORG,Championship Subdivision
618,MURRAY STATE,?,Murray State Racers,Murray State,MURR,Championship Subdivision
619,NEW HAMPSHIRE,?,New Hampshire Wildcats,New Hampshire,UNH,Championship Subdivision
620,NICHOLLS STATE,?,Nicholls Colonels,Nicholls State,NICH,Championship Subdivision
621,NORFOLK STATE,?,Norfolk State Spartans,Norfolk State,NORF,Championship Subdivision
622,NORTH ALABAMA,?,?,?,?,Championship Subdivision
623,NORTH CAROLINA A&T,?,North Carolina A&T Aggies,North Carolina A&T,NCAT,Championship Subdivision
624,NORTH CAROLINA CENTRAL,?,North Carolina Central Eagles,?,?,Championship Subdivision
625,NORTH DAKOTA,?,North Dakota Fighting Hawks,North Dakota,UND,Championship Subdivision
626,NORTH DAKOTA STATE,?,?,North Dakota State,NDSU,Championship Subdivision
627,NORTHERN ARIZONA,?,Northern Arizona Lumberjacks,Northern Arizona,NAU,Championship Subdivision
628,NORTHERN COLORADO,?,?,Northern Colorado,UNCO,Championship Subdivision
629,NORTHERN IOWA,?,Northern Iowa Panthers,Northern Iowa,UNI,Championship Subdivision
630,NORTHWESTERN STATE-LA,?,Northwestern State Demons,Northwestern State,NWST,Championship Subdivision
631,PENNSYLVANIA,?,?,UPenn,PENN,Championship Subdivision
632,PINE BLUFF-ARKANSAS,?,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff,UAPB,Championship Subdivision
633,PORTLAND STATE,?,Portland State Vikings,Portland State,PRST,Championship Subdivision
634,PRAIRIE VIEW A&M,?,Prairie View Panthers,Prairie View A&M,PVAM,Championship Subdivision
635,PRESBYTERIAN,?,?,Presbyterian,PRES,Championship Subdivision
636,PRINCETON,?,?,Princeton,PRIN,Championship Subdivision
637,RHODE ISLAND,?,Rhode Island Rams,Rhode Island,URI,Championship Subdivision
638,RICHMOND,?,Richmond Spiders,Richmond,RICH,Championship Subdivision
639,ROBERT MORRIS - PA,?,?,Robert Morris (PA),RMU,Championship Subdivision
640,S.F.AUSTIN,?,?,Stephen F. Austin,SFA,Championship Subdivision
641,SACRED HEART,?,?,Sacred Heart,SHU,Championship Subdivision
642,SAM HOUSTON,?,?,Sam Houston State,SHSU,Championship Subdivision
643,SAMFORD,?,Samford Bulldogs,Samford,SAM,Championship Subdivision
644,SAN DIEGO,?,?,San Diego,USD,Championship Subdivision
645,SAVANNAH STATE,?,Savannah State Tigers,Savannah State,SAV,Championship Subdivision
646,SO. EAST LOUISIANA,?,Southeastern Louisiana Lions,Southeastern Louisiana,SELA,Championship Subdivision
647,SOUTH CAROLINA STATE,?,South Carolina State Bulldogs,South Carolina State,SCST,Championship Subdivision
648,SOUTH DAKOTA,?,South Dakota Coyotes,South Dakota,SDAK,Championship Subdivision
649,SOUTH DAKOTA STATE,?,South Dakota State Jackrabbits,South Dakota State,SDS,Championship Subdivision
650,SOUTH EASTERN MISSOURI,?,Southeast Missouri State Redhawks,Southeast Missouri,SEMO,Championship Subdivision
651,SOUTHERN ILLINOIS,?,Southern Illinois Salukis,Southern Illinois,SIU,Championship Subdivision
652,SOUTHERN UNIVERSITY,?,Southern Jaguars,Southern University,SOU,Championship Subdivision
653,SOUTHERN UTAH,?,Southern Utah Thunderbirds,Southern Utah,SUU,Championship Subdivision
654,ST.FRANCIS-PA,?,?,St. Francis (PA),SFU,Championship Subdivision
655,STETSON,?,?,Stetson,STET,Championship Subdivision
656,STONY BROOK,?,Stony Brook Seawolves,Stony Brook,STON,Championship Subdivision
657,TENNESSEE STATE,?,Tennessee State Tigers,Tennessee State,TNST,Championship Subdivision
658,TENNESSEE TECH,?,Tennessee Tech Golden Eagles,Tennessee Tech,TNTC,Championship Subdivision
659,TENNESSEE-MARTIN,?,UT Martin Skyhawks,Tennessee-Martin,UTM,Championship Subdivision
660,TEXAS SOUTHERN,?,Texas Southern Tigers,Texas Southern,TXSO,Championship Subdivision
661,THE CITADEL,?,The Citadel Bulldogs,The Citadel,CIT,Championship Subdivision
662,TOWSON,?,Towson Tigers,Towson,TOWS,Championship Subdivision
663,VALPARAISO,?,?,Valparaiso,VALP,Championship Subdivision
664,VILLANOVA,?,Villanova Wildcats,Villanova,NOVA,Championship Subdivision
665,VIRGINIA MILITARY INSTITUTE,?,VMI Keydets,VMI,VMI,Championship Subdivision
666,WAGNER,?,Wagner Seahawks,Wagner,WAG,Championship Subdivision
667,WEBER STATE,?,Weber State Wildcats,Weber State,WEB,Championship Subdivision
668,WESTERN CAROLINA,?,Western Carolina Catamounts,Western Carolina,WCU,Championship Subdivision
669,WESTERN ILLINOIS,?,Western Illinois Leathernecks,Western Illinois,WIU,Championship Subdivision
670,WILLIAM & MARY,?,William & Mary Tribe,William & Mary,W&M,Championship Subdivision
671,WOFFORD,?,Wofford Terriers,Wofford,WOF,Championship Subdivision
672,YALE,?,?,Yale,YALE,Championship Subdivision
673,YOUNGSTOWN STATE,?,Youngstown State Penguins,Youngstown State,YSU,Championship Subdivision
674,ALLEN (SC),?,?,?,?,NAIA
675,ARIZONA CHRISTIAN,?,?,?,?,NAIA
676,AVE MARIA-FLA,?,?,?,?,NAIA
677,AVILA,?,?,?,?,NAIA
678,BAKER,?,?,?,?,NAIA
679,BENEDICTINE-KANSAS,?,?,?,?,NAIA
680,BETHANY KANSAS,?,?,?,?,NAIA
681,BETHEL KANSAS,?,?,?,?,NAIA
682,BETHEL-TN.,?,?,?,?,NAIA
683,BLUFIELD,?,?,?,?,NAIA
684,BRIAR CLIFF,?,?,?,?,NAIA
685,CAMPBELLSVILLE,?,Campbell Fighting Camels,?,?,NAIA
686,CARROLL-MONTANA,?,?,?,?,NAIA
687,CENTRAL METHODIST,?,?,?,?,NAIA
688,CINCINNATI CHRISTIAN,?,?,?,?,NAIA
689,COLLEGE OF IDAHO,?,?,?,?,NAIA
690,CONCORDIA – MICHIGAN,?,?,?,?,NAIA
691,CONCORDIA-NEBRASKA,?,?,?,?,NAIA
692,CULVER-STOCKTON,?,?,?,?,NAIA
693,CUMBERLAND-TN.,?,?,?,?,NAIA
694,DAKOTA STATE-SD.,?,?,?,?,NAIA
695,DAKOTA-WESLEYAN SD.,?,?,?,?,NAIA
696,DICKINSON STATE,?,?,?,?,NAIA
697,DOANE,?,?,?,?,NAIA
698,DORDT,?,?,?,?,NAIA
699,EASTERN OREGON,?,?,?,?,NAIA
700,EDWARD WATERS,?,?,?,?,NAIA
701,EVANGEL,?,?,?,?,NAIA
702,FAULKNER - ALABAMA,?,?,?,?,NAIA
703,FRIENDS,?,?,?,?,NAIA
704,GEORGETOWN-KY.,?,?,?,?,NAIA
705,GRACELAND,?,?,?,?,NAIA
706,GRAND VIEW,?,?,?,?,NAIA
707,HASTINGS,?,?,?,?,NAIA
708,INDIANA WESLEYAN,?,?,?,?,NAIA
709,JAMESTOWN,?,?,?,?,NAIA
710,KANSAS WESLEYAN,?,?,?,?,NAIA
711,KENTUCKY CHRISTIAN,?,?,?,?,NAIA
712,KIESER - FLA,?,?,?,?,NAIA
713,LANGSTON,?,?,?,?,NAIA
714,LAWRENCE TECH (MI),?,?,?,?,NAIA
715,LINDENWOOD - BELLEVILLE,?,?,?,?,NAIA
716,LINSEY WILSON - KY,?,?,?,?,NAIA
717,LYON COLLEGE,?,?,?,?,NAIA
718,MARIAN - INDIANA,?,?,?,?,NAIA
719,MAYVILLE STATE,?,?,?,?,NAIA
720,McPHERSON,?,?,?,?,NAIA
721,MID-AMERICA NAZARENE,?,?,?,?,NAIA
722,MIDLAND - NE,?,?,?,?,NAIA
723,MISSOURI BAPTIST,?,?,?,?,NAIA
724,MISSOURI VALLEY,?,?,?,?,NAIA
725,MONTANA - WESTERN,?,?,?,?,NAIA
726,MONTANA STATE-NORTH,?,?,?,?,NAIA
727,MONTANA TECH,?,?,?,?,NAIA
728,MORNINGSIDE,?,?,?,?,NAIA
729,NORTHWESTERN-IOWA,?,?,?,?,NAIA
730,OLIVET NAZARENE,?,?,?,?,NAIA
731,OTTAWA (AZ),?,?,?,?,NAIA
732,OTTAWA-KANSAS,?,?,?,?,NAIA
733,PANHANDLE STATE - OK,?,?,?,?,NAIA
734,PERU STATE,?,?,?,?,NAIA
735,PIKEVILLE,?,?,?,?,NAIA
736,POINT,?,?,?,?,NAIA
737,PRESENTATION - SD,?,?,?,?,NAIA
738,REINHARDT,?,?,?,?,NAIA
739,ROBERT MORRIS-ILL,?,?,?,?,NAIA
740,ROCKY MOUNTAIN,?,?,?,?,NAIA
741,S W ASSMEMBLY OF GOD,?,?,?,?,NAIA
742,SIENA HEIGHTS,?,?,?,?,NAIA
743,SOUTHEASTERN -FLA,?,?,?,?,NAIA
744,SOUTHERN OREGON,?,?,?,?,NAIA
745,SOUTHWESTERN-KANSAS,?,?,?,?,NAIA
746,ST. ANDREWS- N.C.,?,?,?,?,NAIA
747,ST.AMBROSE,?,?,?,?,NAIA
748,ST.FRANCIS-ILL,?,?,?,?,NAIA
749,ST.FRANCIS-IND.,?,?,?,?,NAIA
750,ST.MARY-KANSAS,?,?,?,?,NAIA
751,ST.XAVIER,?,?,?,?,NAIA
752,STERLING,?,?,?,?,NAIA
753,TABOR,?,TBD,?,?,NAIA
754,TAYLOR,?,?,?,?,NAIA
755,TEXAS COLLEGE,?,?,?,?,NAIA
756,TEXAS WESLEYAN,?,?,?,?,NAIA
757,TRINITY INTERNATIONAL-ILL,?,?,?,?,NAIA
758,UNION-KY.,?,?,?,?,NAIA
759,UNIV. OF CUMBERLANDS-KY,?,?,?,?,NAIA
760,VALLEY CITY STATE,?,?,?,?,NAIA
761,WALDORF,?,?,?,?,NAIA
762,WARNER,?,?,?,?,NAIA
763,WAYLAND BAPTIST,?,?,?,?,NAIA
764,WEBBER INTERNATIONAL,?,?,?,?,NAIA
765,WILLIAM PENN,?,?,?,?,NAIA
766,TRINITY BIBLE,?,?,?,?,INDEPENDENT
767,VIRGINIA - LYNCHBURG,?,?,?,?,INDEPENDENT
