abbr team,match ratio,stats team,corrected stats team,abbreviation,corrected abbr
Oregon,100,OREGON,,ORE,
Oregon State,100,OREGON STATE,,ORST,
Penn State,100,PENN STATE,,PSU,
Pittsburgh,100,PITTSBURGH,,PITT,
Portland State,100,PORTLAND STATE,,PRST,
Prairie View A&M,100,PRAIRIE VIEW A&M,,PV,PVAM
Presbyterian,100,PRESBYTERIAN,,PRE,
Princeton,100,PRINCETON,,PRIN,
Purdue,100,PURDUE,,PUR,
Rhode Island,100,RHODE ISLAND,,URI,
Rice,100,RICE,,RICE,
Richmond,100,RICHMOND,,RICH,
Rutgers,100,RUTGERS,,RUTG,
Sacred Heart,100,SACRED HEART,,SHU,
Samford,100,SAMFORD,,SAM,
San Diego,100,SAN DIEGO,,USD,
San Diego State,100,SAN DIEGO STATE,,SDSU,
Savannah State,100,SAVANNAH STATE,,SAV,
South Alabama,100,SOUTH ALABAMA,,USA,
South Carolina,100,SOUTH CAROLINA,,SC,
South Carolina State,100,SOUTH CAROLINA STATE,,SCST,
South Dakota,100,SOUTH DAKOTA,,SDAK,
South Dakota State,100,SOUTH DAKOTA STATE,,SDSU,
South Florida,100,SOUTH FLORIDA,,USF,
Southern Illinois,100,SOUTHERN ILLINOIS,,SIU,
Southern University,100,SOUTHERN UNIVERSITY,,SOU,
Southern Utah,100,SOUTHERN UTAH,,SUU,
Stanford,100,STANFORD,,STAN,
Stetson,100,STETSON,,STET,
Stony Brook,100,STONY BROOK,,STON,
Syracuse,100,SYRACUSE,,SYR,
Temple,100,TEMPLE,,TEM,
Tennessee,100,TENNESSEE,,TENN,
Tennessee State,100,TENNESSEE STATE,,TNST,
Tennessee Tech,100,TENNESSEE TECH,,TNTC,
Tennessee-Martin,100,TENNESSEE-MARTIN,,UTM,
Texas,100,TEXAS,,TEX,
Texas A&M,100,TEXAS A&M,,TAMU,TA&M
Texas Southern,100,TEXAS SOUTHERN,,TXSO,
Texas Tech,100,TEXAS TECH,,TTU,
The Citadel,100,THE CITADEL,,CIT,
Toledo,100,TOLEDO,,TOL,
Towson,100,TOWSON,,TOWS,
Tulane,100,TULANE,,TULN,
Tulsa,100,TULSA,,TLSA,
Utah,100,UTAH,,UTAH,
Utah State,100,UTAH STATE,,USU,
Valparaiso,100,VALPARAISO,,VALP,
Vanderbilt,100,VANDERBILT,,VAN,
Villanova,100,VILLANOVA,,NOVA,
Virginia,100,VIRGINIA,,UVA,
Virginia Tech,100,VIRGINIA TECH,,VT,
Wagner,100,WAGNER,,WAG,
Wake Forest,100,WAKE FOREST,,WAKE,
Washington,100,WASHINGTON,,WASH,
Washington State,100,WASHINGTON STATE,,WSU,
Weber State,100,WEBER STATE,,WEB,
West Virginia,100,WEST VIRGINIA,,WVU,
Western Carolina,100,WESTERN CAROLINA,,WCU,
Western Illinois,100,WESTERN ILLINOIS,,WIU,
Western Michigan,100,WESTERN MICHIGAN,,WMU,
William & Mary,100,WILLIAM & MARY,,W&M,
Wisconsin,100,WISCONSIN,,WIS,
Wofford,100,WOFFORD,,WOF,
Wyoming,100,WYOMING,,WYO,
Yale,100,YALE,,YALE,
Youngstown State,100,YOUNGSTOWN STATE,,YSU,
WESTERN KENTUCKY,100,WESTERN KENTUCKY,,WKU,
FLORIDA ATLANTIC,100,FLORIDA ATLANTIC,,FAU,
CALIFORNIA,100,CALIFORNIA,,CAL,
Robert Morris (PA),97,ROBERT MORRIS - PA,,RMU,
San Jos?? State,96,SAN JOSE STATE,,SJSU,
Miami (FL),94,MIAMI-FL,,MIA,
St. Francis (PA),93,ST.FRANCIS-PA,,SFU,
Northwestern State,92,NORTHWESTERN STATE-LA,,NWST,
Boise State,91,BOWIE STATE,BOISE,BSU,
Southeast Missouri,90,SOUTH EASTERN MISSOURI,,SEMO,
Georgetown,87,GEORGETOWN-DC,,GTWN,
Central Connecticut,86,CENTRAL CONNECTICUT STATE,,CCSU,
Jacksonville,86,JACKSONVILLE-FLA,,JAC,
Middle Tennessee,84,MIDDLE TENNESSEE STATE,,MTSU,
Monmouth,84,MONMOUTH-IL,,MONM,
Miami (OH),82,MIAMI OF OHIO,,M-OH,
UC Davis,82,CAL-DAVIS,,UCD,
Albany,80,ALBANY-NY,,ALBY,
Southeastern Louisiana,80,SO. EAST LOUISIANA,,SELA,
Sam Houston State,79,SAM HOUSTON,,SHSU,
Southern Miss,79,SOUTHERN MISSISSIPPI,,USM,
NC State,78,KENT STATE,NO. CAROLINA STATE,NCST,
Grambling State,77,FRAMINGHAM STATE,GRAMBLING,GRAM,
Louisiana Lafayette,77,LA-LAFAYETTE,,ULL,
Texas State,76,TEXAS TECH,TEXAS STATE-SAN MARCOS,TXST,
Charlotte,75,UNC - CHARLOTTE,,CHAR,
UTSA,75,UTAH,TEXAS-SAN ANTONIO,UTSA,
Stephen F. Austin,74,S.F.AUSTIN,,SFA,
Louisiana Monroe,73,LOUISIANA COLLEGE,LA-MONROE,ULM,
Sacramento State,73,FAIRMONT STATE,,SAC,
UCLA,73,U.C.L.A.,,UCLA,
NC Central,70,OCCIDENTAL,,NCCU,
Chattanooga,69,CHATTANOOGA-TENNESSEE,,CHAT,
Arkansas-Pine Bluff,63,ARKANSAS-MONTICELLO,,ARPB,
Cal Poly,62,COLBY,,CP,
Ohio,62,OHIO UNIV.,,OHIO,
Bryant,60,BRYANT COLLEGE,,BRY,
Cal,60,CAPITAL,,CAL,
UConn,60,CROWN,CONNECTICUT,CONN,UCONN
UTEP,60,BUTLER,TEXAS-EL PASO,UTEP,
ETSU,57,GETTYSBURG,,ETSU,
Troy,57,TROY STATE,,TROY,
Ole Miss,56,FORT LEWIS,MISSISSIPPI,MISS,
TCU,55,TUSCULUM,TEXAS CHRISTIAN,TCU,
UMass,55,FURMAN,MASSACHUSETTS,UMASS,
UPenn,55,KENYON,,PENN,
USC,55,TUSCULUM,SOUTHERN CALIFORNIA,USC,
BYU,50,BERRY,BRIGHAM YOUNG,BYU,
ECU,50,CURRY,EAST CAROLINA,ECU,
FIU,50,FITCHBURG,,FIU,
LSU,50,LORAS,LOUISIANA STATE,LSU,
UCF,50,TUFTS,CENTRAL FLORIDA,UCF,
UNLV,50,BUCKNELL,NEVADA-LAS VEGAS,UNLV,
VMI,50,AVILA,VIRGINIA MILITARY INSTITUTE,VMI,
FAU,46,S.F.AUSTIN,,FAU,SFA
WKU,44,WILKES,,WKU,
SMU,43,SAM HOUSTON,SOUTHERN METHODIST,SMU,
FLORIDA INTERNATIONAL,100,FLORIDA INTERNATIONAL,,FIU,
