Index,School,Ranking,Class
543,WORCESTER STATE,-11.1,DIVISION 3
544,WORCESTER TECH (W.P.I.),24.9,DIVISION 3
545,ABILENE CHRISTIAN,52.6,Championship Subdivision
546,ALABAMA A&M,36.4,Championship Subdivision
547,ALABAMA STATE,39.0,Championship Subdivision
548,ALBANY-NY,57.5,Championship Subdivision
549,ALCORN STATE,61.5,Championship Subdivision
550,AUSTIN PEAY,67.0,Championship Subdivision
551,BETHUNE-COOKMAN,47.0,Championship Subdivision
552,BROWN,39.6,Championship Subdivision
553,BRYANT COLLEGE,34.7,Championship Subdivision
554,BUCKNELL,38.8,Championship Subdivision
555,BUTLER,32.7,Championship Subdivision
556,CAL-DAVIS,69.1,Championship Subdivision
557,CAL-POLY (SAN LOUIS OBISPO),59.3,Championship Subdivision
558,CAL-SACRAMENTO,82.3,Championship Subdivision
559,CAMPBELL,47.5,Championship Subdivision
560,CENTRAL ARKANSAS,57.3,Championship Subdivision
561,CENTRAL CONNECTICUT ST.,60.8,Championship Subdivision
562,CHARLESTON SOUTHERN,46.5,Championship Subdivision
563,CHATTANOOGA-TENNESSEE,59.8,Championship Subdivision
564,COLGATE,45.2,Championship Subdivision
565,COLUMBIA,53.8,Championship Subdivision
566,CORNELL,48.8,Championship Subdivision
567,DARTMOUTH,71.7,Championship Subdivision
568,DAVIDSON,40.5,Championship Subdivision
569,DAYTON,54.0,Championship Subdivision
570,DELAWARE,72.2,Championship Subdivision
571,DELAWARE STATE,34.4,Championship Subdivision
572,DRAKE,52.6,Championship Subdivision
573,DUQUESNE,54.9,Championship Subdivision
574,EAST TENNESSEE STATE,55.7,Championship Subdivision
575,EASTERN ILLINOIS,50.9,Championship Subdivision
576,EASTERN KENTUCKY,52.2,Championship Subdivision
577,EASTERN WASHINGTON,71.1,Championship Subdivision
578,ELON,57.4,Championship Subdivision
579,FLORIDA A&M,48.5,Championship Subdivision
580,FORDHAM,41.2,Championship Subdivision
581,FURMAN,82.2,Championship Subdivision
582,GARDNER-WEBB,38.0,Championship Subdivision
583,GEORGETOWN-DC,55.0,Championship Subdivision
584,GRAMBLING,49.1,Championship Subdivision
585,HAMPTON,44.1,Championship Subdivision
586,HARVARD,69.4,Championship Subdivision
587,HOLY CROSS,50.0,Championship Subdivision
588,HOUSTON BAPTIST,54.4,Championship Subdivision
589,HOWARD,33.9,Championship Subdivision
590,IDAHO,64.5,Championship Subdivision
591,IDAHO STATE,64.9,Championship Subdivision
592,ILLINOIS STATE,67.3,Championship Subdivision
593,INCARNATE WORD,52.0,Championship Subdivision
594,INDIANA STATE,52.8,Championship Subdivision
595,JACKSON STATE,30.8,Championship Subdivision
596,JACKSONVILLE STATE,59.0,Championship Subdivision
597,JACKSONVILLE-FLA,31.1,Championship Subdivision
598,JAMES MADISON,83.2,Championship Subdivision
599,KENNESAW STATE,65.5,Championship Subdivision
600,L.I.U. - POST,41.8,Championship Subdivision
601,LAFAYETTE,39.9,Championship Subdivision
602,LAMAR,54.0,Championship Subdivision
603,LEHIGH,46.4,Championship Subdivision
604,MAINE,64.2,Championship Subdivision
605,MARIST,33.4,Championship Subdivision
606,MCNEESE STATE,58.7,Championship Subdivision
607,MERCER,46.8,Championship Subdivision
608,MERRIMACK,34.2,Championship Subdivision
609,MISSISSIPPI VALLEY STATE,26.8,Championship Subdivision
610,MISSOURI STATE,54.8,Championship Subdivision
611,MONMOUTH-NJ,52.1,Championship Subdivision
612,MONTANA,90.5,Championship Subdivision
613,MONTANA STATE,73.1,Championship Subdivision
614,MOREHEAD STATE,26.4,Championship Subdivision
615,MORGAN STATE,37.8,Championship Subdivision
616,MURRAY STATE,59.9,Championship Subdivision
617,NEW HAMPSHIRE,68.0,Championship Subdivision
618,NICHOLLS STATE,67.3,Championship Subdivision
619,NORFOLK STATE,35.5,Championship Subdivision
620,NORTH ALABAMA,43.5,Championship Subdivision
621,NORTH CAROLINA A&T,61.6,Championship Subdivision
622,NORTH CAROLINA CENTRAL,38.5,Championship Subdivision
623,NORTH DAKOTA,68.6,Championship Subdivision
624,NORTH DAKOTA STATE,96.7,Championship Subdivision
625,NORTHERN ARIZONA,61.6,Championship Subdivision
626,NORTHERN COLORADO,49.8,Championship Subdivision
627,NORTHERN IOWA,74.5,Championship Subdivision
628,NORTHWESTERN STATE-LA,44.5,Championship Subdivision
629,PENNSYLVANIA,54.0,Championship Subdivision
630,PINE BLUFF-ARKANSAS,35.4,Championship Subdivision
631,PORTLAND STATE,63.0,Championship Subdivision
632,PRAIRIE VIEW A&M,55.4,Championship Subdivision
633,PRESBYTERIAN,30.1,Championship Subdivision
634,PRINCETON,71.9,Championship Subdivision
635,RHODE ISLAND,55.5,Championship Subdivision
636,RICHMOND,50.8,Championship Subdivision
637,ROBERT MORRIS - PA,40.0,Championship Subdivision
638,S.F.AUSTIN,54.5,Championship Subdivision
639,SACRED HEART,50.5,Championship Subdivision
640,SAM HOUSTON,67.9,Championship Subdivision
641,SAMFORD,56.0,Championship Subdivision
642,SAN DIEGO,60.6,Championship Subdivision
643,SO. EAST LOUISIANA,61.0,Championship Subdivision
644,SOUTH CAROLINA STATE,49.0,Championship Subdivision
645,SOUTH DAKOTA,67.7,Championship Subdivision
646,SOUTH DAKOTA STATE,86.8,Championship Subdivision
647,SOUTH EASTERN MISSOURI,66.0,Championship Subdivision
648,SOUTHERN ILLINOIS,68.4,Championship Subdivision
649,SOUTHERN UNIVERSITY,56.1,Championship Subdivision
650,SOUTHERN UTAH,48.9,Championship Subdivision
651,ST.FRANCIS-PA,44.3,Championship Subdivision
652,STETSON,41.4,Championship Subdivision
653,STONY BROOK,68.5,Championship Subdivision
654,TENNESSEE STATE,46.1,Championship Subdivision
655,TENNESSEE TECH,58.2,Championship Subdivision
656,TENNESSEE-MARTIN,60.0,Championship Subdivision
657,TEXAS SOUTHERN,25.3,Championship Subdivision
658,THE CITADEL,55.0,Championship Subdivision
659,TOWSON,72.3,Championship Subdivision
660,VALPARAISO,23.2,Championship Subdivision
661,VILLANOVA,73.5,Championship Subdivision
662,VIRGINIA MILITARY INSTITUTE,52.2,Championship Subdivision
663,WAGNER,46.2,Championship Subdivision
664,WEBER STATE,74.7,Championship Subdivision
665,WESTERN CAROLINA,39.8,Championship Subdivision
666,WESTERN ILLINOIS,54.0,Championship Subdivision
667,WILLIAM & MARY,61.5,Championship Subdivision
668,WOFFORD,65.9,Championship Subdivision
669,YALE,62.3,Championship Subdivision
670,YOUNGSTOWN STATE,72.9,Championship Subdivision
671,ALLEN (SC),-11.8,NAIA
672,ARIZONA CHRISTIAN,0.6,NAIA
673,AVE MARIA-FLA,15.8,NAIA
674,AVILA,-1.6,NAIA
675,BAKER,35.1,NAIA
676,BENEDICTINE-KANSAS,36.7,NAIA
677,BETHANY KANSAS,-14.8,NAIA
678,BETHEL KANSAS,3.6,NAIA
679,BETHEL-TN.,17.7,NAIA
680,BLUFIELD,1.0,NAIA
681,BRIAR CLIFF,26.0,NAIA
682,CAMPBELLSVILLE,10.5,NAIA
683,CARROLL-MONTANA,39.4,NAIA
684,CENTRAL METHODIST,18.0,NAIA
685,CINCINNATI CHRISTIAN,-19.4,NAIA
686,CLARKE - IOWA,-14.8,NAIA
687,COLLEGE OF IDAHO,48.7,NAIA
688,CONCORDIA – MICHIGAN,38.7,NAIA
689,CONCORDIA-NEBRASKA,17.3,NAIA
690,CULVER-STOCKTON,14.2,NAIA
691,CUMBERLAND-TN.,9.4,NAIA
692,DAKOTA STATE-SD.,13.7,NAIA
693,DAKOTA-WESLEYAN SD.,-1.9,NAIA
694,DICKINSON STATE,39.0,NAIA
695,DOANE,17.8,NAIA
696,DORDT,27.9,NAIA
697,EASTERN OREGON,17.3,NAIA
698,EDWARD WATERS,-6.4,NAIA
699,EVANGEL,28.5,NAIA
700,FAULKNER - ALABAMA,9.5,NAIA
701,FRIENDS,-7.9,NAIA
702,GEORGETOWN-KY.,13.7,NAIA
703,GRACELAND,-24.5,NAIA
704,GRAND VIEW,40.4,NAIA
705,HASTINGS,2.2,NAIA
706,INDIANA WESLEYAN,20.8,NAIA
707,JAMESTOWN,8.1,NAIA
708,KANSAS WESLEYAN,31.6,NAIA
709,KENTUCKY CHRISTIAN,-6.4,NAIA
710,KIESER - FLA,28.9,NAIA
711,LANGSTON,21.4,NAIA
712,LAWRENCE TECH (MI),-3.2,NAIA
713,LINDENWOOD - BELLEVILLE,0.0,NAIA
714,LINSEY WILSON - KY,46.8,NAIA
715,LYON COLLEGE,-9.5,NAIA
716,MARIAN - INDIANA,54.4,NAIA
717,MAYVILLE STATE,-15.0,NAIA
718,McPHERSON,-2.1,NAIA
719,MID-AMERICA NAZARENE,19.6,NAIA
720,MIDLAND - NE,23.4,NAIA
721,MISSOURI BAPTIST,14.0,NAIA
722,MISSOURI VALLEY,8.4,NAIA
723,MONTANA - WESTERN,44.8,NAIA
724,MONTANA STATE-NORTH,7.6,NAIA
725,MONTANA TECH,42.6,NAIA
726,MORNINGSIDE,62.0,NAIA
727,NORTHWESTERN-IOWA,39.2,NAIA
728,OLIVET NAZARENE,25.8,NAIA
729,OTTAWA (AZ),31.2,NAIA
730,OTTAWA-KANSAS,4.7,NAIA
731,PANHANDLE STATE - OK,-4.5,NAIA
732,PERU STATE,4.2,NAIA
733,PIKEVILLE,26.5,NAIA
734,POINT,6.0,NAIA
735,PRESENTATION - SD,-18.3,NAIA
736,REINHARDT,36.3,NAIA
737,ROBERT MORRIS-ILL,17.7,NAIA
738,ROCKY MOUNTAIN,16.3,NAIA
739,S W ASSMEMBLY OF GOD,-4.2,NAIA
740,SIENA HEIGHTS,35.5,NAIA
741,SOUTHEASTERN -FLA,33.6,NAIA
742,SOUTHERN OREGON,35.7,NAIA
743,SOUTHWESTERN-KANSAS,7.4,NAIA
744,ST. ANDREWS- N.C.,13.7,NAIA
745,ST. THOMAS - FLA,-1.9,NAIA
746,ST.AMBROSE,19.8,NAIA
747,ST.FRANCIS-ILL,10.4,NAIA
748,ST.FRANCIS-IND.,42.5,NAIA
749,ST.MARY-KANSAS,-23.1,NAIA
750,ST.XAVIER,30.9,NAIA
751,STERLING,9.8,NAIA
752,TABOR,3.7,NAIA
753,TAYLOR,17.5,NAIA
754,TEXAS COLLEGE,-26.1,NAIA
755,TEXAS WESLEYAN,1.7,NAIA
756,THOMAS MORE,11.0,NAIA
757,TRINITY INTERNATIONAL-ILL,-9.3,NAIA
758,UNION-KY.,-33.8,NAIA
759,UNIV. OF CUMBERLANDS-KY,44.1,NAIA
760,VALLEY CITY STATE,12.9,NAIA
761,WALDORF,23.1,NAIA
762,WARNER,6.7,NAIA
763,WAYLAND BAPTIST,-13.8,NAIA
764,WEBBER INTERNATIONAL,14.6,NAIA
765,WILLIAM PENN,24.0,NAIA
766,APPRENTICE-NEWPORT NEWS,-8.2,INDEPENDENT
767,LEWIS & CLARK VALLEY,-49.4,INDEPENDENT
768,TRINITY BIBLE,-52.0,INDEPENDENT
769,VIRGINIA - LYNCHBURG,3.1,INDEPENDENT
