Index,School,Ranking,Class
117,UNC - CHARLOTTE,73.4,DIVISION 1  FBS
118,UTAH,101.3,DIVISION 1  FBS
119,UTAH STATE,89.4,DIVISION 1  FBS
120,VANDERBILT,77.0,DIVISION 1  FBS
121,VIRGINIA,90.5,DIVISION 1  FBS
122,VIRGINIA TECH,81.8,DIVISION 1  FBS
123,WAKE FOREST,95.8,DIVISION 1  FBS
124,WASHINGTON,102.4,DIVISION 1  FBS
125,WASHINGTON STATE,87.6,DIVISION 1  FBS
126,WEST VIRGINIA,94.8,DIVISION 1  FBS
127,WESTERN KENTUCKY,75.7,DIVISION 1  FBS
128,WESTERN MICHIGAN,82.4,DIVISION 1  FBS
129,WISCONSIN,111.1,DIVISION 1  FBS
130,WYOMING,86.5,DIVISION 1  FBS
131,ADAMS STATE,24.8,DIVISION 2
132,ALBANY STATE-GEORGIA,41.4,DIVISION 2
133,ALDERSON-BROADDUS,6.6,DIVISION 2
134,AMERICAN INTERNATIONAL,15.3,DIVISION 2
135,ANGELO STATE,64.9,DIVISION 2
136,ARKANSAS TECH,25.6,DIVISION 2
137,ARKANSAS-MONTICELLO,32.4,DIVISION 2
138,ASHLAND UNIVERSITY,52.4,DIVISION 2
139,ASSUMPTION COLLEGE,34.5,DIVISION 2
140,AUGUSTANA-S.D.,54.9,DIVISION 2
141,AZUSA PACIFIC,33.1,DIVISION 2
142,BEMIDJI STATE,47.8,DIVISION 2
143,BENEDICT-S.C,9.8,DIVISION 2
144,BENTLEY COLLEGE,32.8,DIVISION 2
145,BLACK HILLS STATE,18.9,DIVISION 2
146,BLOOMSBURG UNIVERSITY,27.0,DIVISION 2
147,BOWIE STATE,38.3,DIVISION 2
148,CALIFORNIA-PA.,52.6,DIVISION 2
149,CARSON-NEWMAN,51.9,DIVISION 2
150,CATAWBA COLLEGE,19.3,DIVISION 2
151,CENTRAL MISSOURI STATE,65.6,DIVISION 2
152,CENTRAL OKLAHOMA,54.0,DIVISION 2
153,CENTRAL STATE – OHIO,1.7,DIVISION 2
154,CENTRAL WASHINGTON,41.1,DIVISION 2
155,CHADRON STATE,31.4,DIVISION 2
156,CHARLESTON-WEST VIRGINIA,36.2,DIVISION 2
157,CHOWAN COLLEGE,18.4,DIVISION 2
158,CLARION,35.3,DIVISION 2
159,CLARK-ATLANTA,9.1,DIVISION 2
160,COLORADO MINES,61.6,DIVISION 2
161,COLORADO ST- PUEBLO,54.2,DIVISION 2
162,CONCORD COLLEGE,16.8,DIVISION 2
163,CONCORDIA STATE-ST.PAUL,43.7,DIVISION 2
164,CROOKSTON-MINNESOTA,15.3,DIVISION 2
165,DAVENPORT MI,41.9,DIVISION 2
166,DELTA STATE,38.3,DIVISION 2
167,DIXIE STATE-UTAH,46.0,DIVISION 2
168,DULUTH-MINNESOTA,54.8,DIVISION 2
169,EAST CENTRAL-OKLAHOMA,29.2,DIVISION 2
170,EAST STROUDSBURG,46.5,DIVISION 2
171,EASTERN NEW MEXICO,49.7,DIVISION 2
172,EDINBORO UNIVERSITY,28.4,DIVISION 2
173,ELIZABETH CITY STATE,-4.0,DIVISION 2
174,EMPORIA STATE,55.7,DIVISION 2
175,FAIRMONT STATE,33.9,DIVISION 2
176,FAYETTEVILLE STATE,42.6,DIVISION 2
177,FERRIS STATE,69.2,DIVISION 2
178,FINDLAY,46.6,DIVISION 2
179,FLORIDA TECH,44.3,DIVISION 2
180,FORT HAYS STATE,61.6,DIVISION 2
181,FORT LEWIS,31.1,DIVISION 2
182,FORT VALLEY STATE,32.9,DIVISION 2
183,FRANKLIN PIERCE,-13.4,DIVISION 2
184,FROSTBURG,41.5,DIVISION 2
185,GANNON,31.8,DIVISION 2
186,GLENVILLE STATE,24.0,DIVISION 2
187,GRAND VALLEY STATE,53.2,DIVISION 2
188,HARDING,53.0,DIVISION 2
189,HENDERSON STATE,52.9,DIVISION 2
190,HILLSDALE COLLEGE,41.6,DIVISION 2
191,INDIANA-PA.,62.3,DIVISION 2
192,INDIANAPOLIS,69.1,DIVISION 2
193,JOHNSON C. SMITH,7.3,DIVISION 2
194,KENTUCKY STATE,20.1,DIVISION 2
195,KENTUCKY WESLEYAN,14.4,DIVISION 2
196,KUTZTOWN UNIVERSITY,49.9,DIVISION 2
197,LAKE ERIE,13.1,DIVISION 2
198,LANE COLLEGE,17.9,DIVISION 2
199,LENOIR-RHYNE,63.0,DIVISION 2
200,LIMESTONE,32.4,DIVISION 2
201,LINCOLN-MO.,15.1,DIVISION 2
202,LINCOLN-PA,-9.0,DIVISION 2
203,LINDENWOOD - MO,42.3,DIVISION 2
