abbr team,match ratio,stats team,corrected stats team,abbreviation,corrected abbr
Montana,100,MONTANA,,MONT,
Montana State,100,MONTANA STATE,,MTST,
Morehead State,100,MOREHEAD STATE,,MORE,
Morgan State,100,MORGAN STATE,,MORG,
Murray State,100,MURRAY STATE,,MURR,
NC Central,70,OCCIDENTAL,NORTH CAROLINA CENTRAL,NCCU,
NC State,78,KENT STATE,NO. CAROLINA STATE,NCST,
Navy,100,NAVY,,NAVY,
Nebraska,100,NEBRASKA,,NEB,
Nevada,100,NEVADA,,NEV,
New Hampshire,100,NEW HAMPSHIRE,,UNH,
New Mexico,100,NEW MEXICO,,UNM,
New Mexico State,100,NEW MEXICO STATE,,NMSU,
Nicholls State,100,NICHOLLS STATE,,NICH,
Norfolk State,100,NORFOLK STATE,,NORF,
North Carolina,100,NORTH CAROLINA,,UNC,
North Carolina A&T,100,NORTH CAROLINA A&T,,NCAT,
North Dakota,100,NORTH DAKOTA,,UND,
North Dakota State,100,NORTH DAKOTA STATE,,NDSU,
North Texas,100,NORTH TEXAS,,UNT,
Northern Arizona,100,NORTHERN ARIZONA,,NAU,
Northern Colorado,100,NORTHERN COLORADO,,UNCO,
Northern Illinois,100,NORTHERN ILLINOIS,,NIU,
Northern Iowa,100,NORTHERN IOWA,,UNI,
Northwestern,100,NORTHWESTERN,,NW,
Northwestern State,92,NORTHWESTERN STATE-LA,,NWST,
Notre Dame,100,NOTRE DAME,,ND,
Ohio,62,OHIO UNIV.,,OHIO,
Ohio State,100,OHIO STATE,,OSU,
Oklahoma,100,OKLAHOMA,,OKLA,
Oklahoma State,100,OKLAHOMA STATE,,OKST,
Old Dominion,100,OLD DOMINION,,ODU,
Ole Miss,56,FORT LEWIS,MISSISSIPPI,MISS,
Oregon,100,OREGON,,ORE,
Oregon State,100,OREGON STATE,,ORST,
Penn State,100,PENN STATE,,PSU,
Pittsburgh,100,PITTSBURGH,,PITT,
Portland State,100,PORTLAND STATE,,PRST,
Prairie View A&M,100,PRAIRIE VIEW A&M,,PV,PVAM 
Presbyterian,100,PRESBYTERIAN,,PRE,PRES
Princeton,100,PRINCETON,,PRIN,
Purdue,100,PURDUE,,PUR,
Rhode Island,100,RHODE ISLAND,,URI,
Rice,100,RICE,,RICE,
Richmond,100,RICHMOND,,RICH,
Robert Morris (PA),97,ROBERT MORRIS - PA,,RMU,
Rutgers,100,RUTGERS,,RUTG,
SMU,43,SAM HOUSTON,SOUTHERN METHODIST,SMU,
Sacramento State,73,FAIRMONT STATE,CAL-SACRAMENTO,SAC,
Sacred Heart,100,SACRED HEART,,SHU,
Sam Houston State,79,SAM HOUSTON,,SHSU,
Samford,100,SAMFORD,,SAM,
San Diego,100,SAN DIEGO,,USD,
San Diego State,100,SAN DIEGO STATE,,SDSU,
San Jos?? State,96,SAN JOSE STATE,,SJSU,
Savannah State,100,SAVANNAH STATE,,SAV,
South Alabama,100,SOUTH ALABAMA,,USA,
South Carolina,100,SOUTH CAROLINA,,SC,
South Carolina State,100,SOUTH CAROLINA STATE,,SCST,
South Dakota,100,SOUTH DAKOTA,,SDAK,
South Dakota State,100,SOUTH DAKOTA STATE,,SDSU,SDS
South Florida,100,SOUTH FLORIDA,,USF,
Southeast Missouri,90,SOUTH EASTERN MISSOURI,,SEMO,
Southeastern Louisiana,80,SO. EAST LOUISIANA,,SELA,
Southern Illinois,100,SOUTHERN ILLINOIS,,SIU,
Southern Miss,79,SOUTHERN MISSISSIPPI,,USM,
Southern University,100,SOUTHERN UNIVERSITY,,SOU,
Southern Utah,100,SOUTHERN UTAH,,SUU,
St. Francis (PA),93,ST.FRANCIS-PA,,SFU,
Stanford,100,STANFORD,,STAN,
