scheduled team,match ratio,stats team,corrected stats team
USC Trojans,60,ST.THOMAS,SOUTHERN CALIFORNIA
UTEP Miners,59,BETHEL-MINNESOTA,TEXAS-EL PASO
UTSA Roadrunners,48,ALDERSON-BROADDUS,TEXAS-SAN ANTONIO
Utah State Aggies,74,UTAH STATE,
Utah Utes,74,UTAH STATE,UTAH
Vanderbilt Commodores,65,VANDERBILT,
Virginia Cavaliers,71,VIRGINIA-WISE,VIRGINIA
Virginia Tech Hokies,79,VIRGINIA TECH,
Wake Forest Demon Deacons,61,WAKE FOREST,
Washington Huskies,76,WASHINGTON STATE,WASHINGTON
Washington State Cougars,80,WASHINGTON STATE,
West Virginia Mountaineers,76,WEST VIRGINIA STATE,WEST VIRGINIA
Western Carolina Catamounts,74,WESTERN CAROLINA,
Western Kentucky Hilltoppers,73,WESTERN KENTUCKY,
Wisconsin Badgers,72,WISCONSIN-La CROSSE,WISCONSIN
Wyoming Cowboys,64,WYOMING,
