Index,BPI,teamrankings,scheduled,abbr team,abbr,class
385,GUSTAVUS ADOLPHUS,?,?,?,?,DIVISION 3
386,HAMILTON,?,?,?,?,DIVISION 3
387,HAMLINE,?,?,?,?,DIVISION 3
388,HAMPDEN-SYDNEY,?,?,?,?,DIVISION 3
389,HANOVER,?,?,?,?,DIVISION 3
390,HARDIN-SIMMONS,?,?,?,?,DIVISION 3
391,HARTWICK,?,?,?,?,DIVISION 3
392,HEIDELBERG,?,?,?,?,DIVISION 3
393,HENDRIX,?,?,?,?,DIVISION 3
394,HIRAM,?,?,?,?,DIVISION 3
395,HOBART,?,?,?,?,DIVISION 3
396,HOPE,?,?,?,?,DIVISION 3
397,HOWARD PAYNE,?,?,?,?,DIVISION 3
398,HUNTINGDON-ALA.,?,?,?,?,DIVISION 3
399,HUSSON-MAINE,?,?,?,?,DIVISION 3
400,ILLINOIS COLLEGE,?,?,?,?,DIVISION 3
401,ILLINOIS WESLEYAN,?,?,?,?,DIVISION 3
402,IOWA-WESLEYAN,?,?,?,?,DIVISION 3
403,ITHACA,?,?,?,?,DIVISION 3
404,JOHN CARROLL,?,?,?,?,DIVISION 3
405,JOHNS HOPKINS,?,?,?,?,DIVISION 3
406,JUNIATA,?,?,?,?,DIVISION 3
407,KALAMAZOO,?,?,?,?,DIVISION 3
408,KEAN,?,?,?,?,DIVISION 3
409,KENYON,?,?,?,?,DIVISION 3
410,HAWAII,?,?,?,?,DIVISION 3
411,KNOX,?,?,?,?,DIVISION 3
412,LA VERNE,?,?,?,?,DIVISION 3
413,LAGRANGE,?,?,?,?,DIVISION 3
414,LAKE FOREST,?,?,?,?,DIVISION 3
415,LAKELAND COLLEGE,?,?,?,?,DIVISION 3
416,LAWRENCE,?,?,?,?,DIVISION 3
417,LEBANON VALLEY,?,?,?,?,DIVISION 3
418,LEWIS & CLARK,?,?,?,?,DIVISION 3
419,LINFIELD,?,?,?,?,DIVISION 3
420,LORAS,?,?,?,?,DIVISION 3
421,LOUISIANA COLLEGE,?,?,?,?,DIVISION 3
422,LUTHER,?,?,?,?,DIVISION 3
423,LYCOMING,?,?,?,?,DIVISION 3
424,M.I.T.,?,?,?,?,DIVISION 3
425,MACALESTER,?,?,?,?,DIVISION 3
426,MACMURRAY,?,?,?,?,DIVISION 3
427,MAINE MARITIME,?,?,?,?,DIVISION 3
428,MANCHESTER COLLEGE,?,?,?,?,DIVISION 3
429,MARIETTA,?,?,?,?,DIVISION 3
430,MARTIN LUTHER-MN,?,?,?,?,DIVISION 3
431,MARY HARDIN BAYLOR,?,?,?,?,DIVISION 3
432,MARYVILLE COLLEGE,?,?,?,?,DIVISION 3
433,MASS-MARITIME,?,?,?,?,DIVISION 3
434,McDANIEL,?,?,?,?,DIVISION 3
435,McMURRY,?,?,?,?,DIVISION 3
436,MERCHANT MARINE,?,?,?,?,DIVISION 3
437,METHODIST COLLEGE,?,?,?,?,DIVISION 3
438,MIDDLEBURY,?,?,?,?,DIVISION 3
439,MILLIKIN,?,?,?,?,DIVISION 3
440,MILLSAPS,?,?,?,?,DIVISION 3
441,MISERICORDIA,?,?,?,?,DIVISION 3
442,MISSISSIPPI COLLEGE,?,?,?,?,DIVISION 3
443,MONMOUTH-IL,?,?,?,?,DIVISION 3
444,MONTCLAIR,?,?,?,?,DIVISION 3
445,MORAVIAN,?,?,?,?,DIVISION 3
446,MORRIS-MINNESOTA,?,?,?,?,DIVISION 3
447,MORRISVILLE STATE - NY,?,?,?,?,DIVISION 3
448,MOUNT SAINT JOSEPH,?,?,?,?,DIVISION 3
449,MOUNT UNION,?,?,?,?,DIVISION 3
450,MUHLENBERG COLLEGE,?,?,?,?,DIVISION 3
451,MUSKINGUM,?,?,?,?,DIVISION 3
452,NEBRASKA WESLEYAN,?,?,?,?,DIVISION 3
453,NEW JERSEY,?,?,?,?,DIVISION 3
454,NICHOLS,?,?,?,?,DIVISION 3
455,NORTH CENTRAL-ILL,?,?,?,?,DIVISION 3
456,NORTH PARK,?,?,?,?,DIVISION 3
457,NORTHWESTERN-MN.,?,?,?,?,DIVISION 3
458,NORWICH,?,?,?,?,DIVISION 3
459,OBERLIN,?,?,?,?,DIVISION 3
460,OCCIDENTAL,?,?,?,?,DIVISION 3
461,OHIO NORTHERN,?,?,?,?,DIVISION 3
462,OHIO WESLYAN,?,?,?,?,DIVISION 3
463,OLIVET,?,?,?,?,DIVISION 3
464,OTTERBEIN,?,?,?,?,DIVISION 3
465,PACIFIC - OR,?,?,?,?,DIVISION 3
466,PACIFIC LUTHERAN,?,?,?,?,DIVISION 3
467,PLYMOUTH STATE,?,?,?,?,DIVISION 3
468,POMONA PITZER,?,?,?,?,DIVISION 3
469,PUGET SOUND,?,?,?,?,DIVISION 3
470,RANDOLPH-MACON,?,?,?,?,DIVISION 3
471,REDLANDS,?,?,?,?,DIVISION 3
472,RENSSELAER POLY-TECH,?,?,?,?,DIVISION 3
473,RHODES COLLEGE,?,?,?,?,DIVISION 3
474,RIPON,?,?,?,?,DIVISION 3
475,ROCHESTER,?,?,?,?,DIVISION 3
476,ROCKFORD,?,?,?,?,DIVISION 3
477,ROSE-HULMAN,?,?,?,?,DIVISION 3
478,ROWAN,?,?,?,?,DIVISION 3
479,SALISBURY,?,?,?,?,DIVISION 3
480,SALVE REGINA,?,?,?,?,DIVISION 3
481,SEWANEE,?,?,?,?,DIVISION 3
482,SHENANDOAH COLLEGE,?,?,?,?,DIVISION 3
483,SIMPSON,?,?,?,?,DIVISION 3
484,SOUTHERN VIRGINIA,?,?,?,?,DIVISION 3
485,SOUTHWESTERN - TX,?,?,?,?,DIVISION 3
486,SPRINGFIELD,?,?,?,?,DIVISION 3
487,ST. JOHN FISHER,?,?,?,?,DIVISION 3
488,ST. LAWRENCE,?,?,?,?,DIVISION 3
489,ST. SCHOLASTICA,?,?,?,?,DIVISION 3
490,ST. VINCENT,?,?,?,?,DIVISION 3
491,ST.JOHNS-MINNESOTA,?,?,?,?,DIVISION 3
492,ST.NORBERT,?,?,?,?,DIVISION 3
493,ST.OLAF,?,?,?,?,DIVISION 3
494,ST.THOMAS,?,?,?,?,DIVISION 3
495,STEVENSON,?,?,?,?,DIVISION 3
496,SUL ROSS STATE,?,?,?,?,DIVISION 3
497,SUNY - MARITIME,?,?,?,?,DIVISION 3
498,SUSQUEHANNA,?,?,?,?,DIVISION 3
499,TEXAS LUTHERAN,?,?,?,?,DIVISION 3
500,THIEL,?,?,?,?,DIVISION 3
501,TRINE,?,?,?,?,DIVISION 3
502,TRINITY COLLEGE - CT,?,?,?,?,DIVISION 3
503,TRINITY-TEXAS,?,?,?,?,DIVISION 3
504,TUFTS,?,?,?,?,DIVISION 3
505,U O F NEW ENGLAND,?,?,?,?,DIVISION 3
506,UNION COLLEGE-NY ,?,?,?,?,DIVISION 3
507,URSINUS COLLEGE,?,?,?,?,DIVISION 3
508,UTICA,?,?,?,?,DIVISION 3
509,WABASH,?,?,?,?,DIVISION 3
510,WARTBURG,?,?,?,?,DIVISION 3
511,WASHINGTON & JEFFERSON,?,?,?,?,DIVISION 3
512,WASHINGTON & LEE,?,?,?,?,DIVISION 3
513,WASHINGTON-MO.,?,?,?,?,DIVISION 3
514,WAYNESBURG,?,?,?,?,DIVISION 3
515,WESLEY COLLEGE,?,?,?,?,DIVISION 3
516,WESLEYAN-CONN.,?,?,?,?,DIVISION 3
517,WESLEYAN-NORTH CAROLINA,?,?,?,?,DIVISION 3
518,WESTERN CONNECTICUT,?,?,?,?,DIVISION 3
519,WESTERN NEW ENGLAND,?,?,?,?,DIVISION 3
520,WESTFIELD-MASS.,?,?,?,?,DIVISION 3
521,WESTMINSTER-MO.,?,?,?,?,DIVISION 3
522,WESTMINSTER-PA,?,?,?,?,DIVISION 3
523,WHEATON COLLEGE,?,?,?,?,DIVISION 3
524,WHITTIER COLLEGE,?,?,?,?,DIVISION 3
525,WHITWORTH,?,?,?,?,DIVISION 3
526,WIDENER,?,?,?,?,DIVISION 3
527,WILKES,?,?,?,?,DIVISION 3
528,WILLAMETTE,?,?,?,?,DIVISION 3
529,WILLIAM PATERSON,?,?,?,?,DIVISION 3
530,WILLIAMS COLLEGE,?,?,?,?,DIVISION 3
531,WILMINGTON OHIO,?,?,?,?,DIVISION 3
532,WISCONSIN-EAU CLAIRE,?,?,?,?,DIVISION 3
533,WISCONSIN-La CROSSE,?,?,?,?,DIVISION 3
534,WISCONSIN-LUTHERAN,?,?,?,?,DIVISION 3
535,WISCONSIN-OSHKOSH,?,?,?,?,DIVISION 3
536,WISCONSIN-PLATTEVILLE,?,?,?,?,DIVISION 3
537,WISCONSIN-RIVER FALLS,?,?,?,?,DIVISION 3
538,WISCONSIN-STEVENS POINT,?,?,?,?,DIVISION 3
539,WISCONSIN-STOUT,?,?,?,?,DIVISION 3
540,WISCONSIN-WHITEWATER,?,?,?,?,DIVISION 3
541,WITTENBERG,?,?,?,?,DIVISION 3
542,WOOSTER,?,?,?,?,DIVISION 3
543,WORCESTER STATE,?,?,?,?,DIVISION 3
544,WORCESTER TECH (W.P.I.),?,?,?,?,DIVISION 3
545,ABILENE CHRISTIAN,?,?,?,?,Championship Subdivision
546,ALABAMA A&M,?,?,?,?,Championship Subdivision
547,ALABAMA STATE,?,?,?,?,Championship Subdivision
548,ALBANY-NY,?,?,?,?,Championship Subdivision
549,ALCORN STATE,?,?,?,?,Championship Subdivision
550,AUSTIN PEAY,?,?,?,?,Championship Subdivision
551,BETHUNE-COOKMAN,?,?,?,?,Championship Subdivision
552,BROWN,?,?,?,?,Championship Subdivision
553,BRYANT COLLEGE,?,?,?,?,Championship Subdivision
554,BUCKNELL,?,?,?,?,Championship Subdivision
555,BUTLER,?,?,?,?,Championship Subdivision
556,CAL-DAVIS,?,?,?,?,Championship Subdivision
557,CAL-POLY (SAN LOUIS OBISPO),?,?,?,?,Championship Subdivision
558,CAL-SACRAMENTO,?,?,?,?,Championship Subdivision
559,CAMPBELL,?,?,?,?,Championship Subdivision
560,CENTRAL ARKANSAS,?,?,?,?,Championship Subdivision
561,CENTRAL CONNECTICUT ST.,?,?,?,?,Championship Subdivision
562,CHARLESTON SOUTHERN,?,?,?,?,Championship Subdivision
563,CHATTANOOGA-TENNESSEE,?,?,?,?,Championship Subdivision
564,COLGATE,?,?,?,?,Championship Subdivision
565,COLUMBIA,?,?,?,?,Championship Subdivision
566,CORNELL,?,?,?,?,Championship Subdivision
567,DARTMOUTH,?,?,?,?,Championship Subdivision
568,DAVIDSON,?,?,?,?,Championship Subdivision
569,DAYTON,?,?,?,?,Championship Subdivision
570,DELAWARE,?,?,?,?,Championship Subdivision
571,DELAWARE STATE,?,?,?,?,Championship Subdivision
572,DRAKE,?,?,?,?,Championship Subdivision
573,DUQUESNE,?,?,?,?,Championship Subdivision
574,EAST TENNESSEE STATE,?,?,?,?,Championship Subdivision
575,EASTERN ILLINOIS,?,?,?,?,Championship Subdivision
576,EASTERN KENTUCKY,?,?,?,?,Championship Subdivision
577,EASTERN WASHINGTON,?,?,?,?,Championship Subdivision
578,ELON,?,?,?,?,Championship Subdivision
579,FLORIDA A&M,?,?,?,?,Championship Subdivision
580,FORDHAM,?,?,?,?,Championship Subdivision
581,FURMAN,?,?,?,?,Championship Subdivision
582,GARDNER-WEBB,?,?,?,?,Championship Subdivision
583,GEORGETOWN-DC,?,?,?,?,Championship Subdivision
584,GRAMBLING,?,?,?,?,Championship Subdivision
585,HAMPTON,?,?,?,?,Championship Subdivision
586,HARVARD,?,?,?,?,Championship Subdivision
587,HOLY CROSS,?,?,?,?,Championship Subdivision
588,HOUSTON BAPTIST,?,?,?,?,Championship Subdivision
589,HOWARD,?,?,?,?,Championship Subdivision
590,IDAHO,?,?,?,?,Championship Subdivision
591,IDAHO STATE,?,?,?,?,Championship Subdivision
592,ILLINOIS STATE,?,?,?,?,Championship Subdivision
593,INCARNATE WORD,?,?,?,?,Championship Subdivision
594,INDIANA STATE,?,?,?,?,Championship Subdivision
595,JACKSON STATE,?,?,?,?,Championship Subdivision
596,JACKSONVILLE STATE,?,?,?,?,Championship Subdivision
597,JACKSONVILLE-FLA,?,?,?,?,Championship Subdivision
598,JAMES MADISON,?,?,?,?,Championship Subdivision
599,KENNESAW STATE,?,?,?,?,Championship Subdivision
600,L.I.U. - POST,?,?,?,?,Championship Subdivision
601,LAFAYETTE,?,?,?,?,Championship Subdivision
602,LAMAR,?,?,?,?,Championship Subdivision
603,LEHIGH,?,?,?,?,Championship Subdivision
604,MAINE,?,?,?,?,Championship Subdivision
605,MARIST,?,?,?,?,Championship Subdivision
606,MCNEESE STATE,?,?,?,?,Championship Subdivision
607,MERCER,?,?,?,?,Championship Subdivision
608,MERRIMACK,?,?,?,?,Championship Subdivision
609,MISSISSIPPI VALLEY STATE,?,?,?,?,Championship Subdivision
610,MISSOURI STATE,?,?,?,?,Championship Subdivision
611,MONMOUTH-NJ,?,?,?,?,Championship Subdivision
612,MONTANA,?,?,?,?,Championship Subdivision
613,MONTANA STATE,?,?,?,?,Championship Subdivision
614,MOREHEAD STATE,?,?,?,?,Championship Subdivision
615,MORGAN STATE,?,?,?,?,Championship Subdivision
616,MURRAY STATE,?,?,?,?,Championship Subdivision
617,NEW HAMPSHIRE,?,?,?,?,Championship Subdivision
618,NICHOLLS STATE,?,?,?,?,Championship Subdivision
619,NORFOLK STATE,?,?,?,?,Championship Subdivision
620,NORTH ALABAMA,?,?,?,?,Championship Subdivision
621,NORTH CAROLINA A&T,?,?,?,?,Championship Subdivision
622,NORTH CAROLINA CENTRAL,?,?,?,?,Championship Subdivision
623,NORTH DAKOTA,?,?,?,?,Championship Subdivision
624,NORTH DAKOTA STATE,?,?,?,?,Championship Subdivision
625,NORTHERN ARIZONA,?,?,?,?,Championship Subdivision
626,NORTHERN COLORADO,?,?,?,?,Championship Subdivision
627,NORTHERN IOWA,?,?,?,?,Championship Subdivision
628,NORTHWESTERN STATE-LA,?,?,?,?,Championship Subdivision
629,PENNSYLVANIA,?,?,?,?,Championship Subdivision
630,PINE BLUFF-ARKANSAS,?,?,?,?,Championship Subdivision
631,PORTLAND STATE,?,?,?,?,Championship Subdivision
632,PRAIRIE VIEW A&M,?,?,?,?,Championship Subdivision
633,PRESBYTERIAN,?,?,?,?,Championship Subdivision
634,PRINCETON,?,?,?,?,Championship Subdivision
635,RHODE ISLAND,?,?,?,?,Championship Subdivision
636,RICHMOND,?,?,?,?,Championship Subdivision
637,ROBERT MORRIS - PA,?,?,?,?,Championship Subdivision
638,S.F.AUSTIN,?,?,?,?,Championship Subdivision
639,SACRED HEART,?,?,?,?,Championship Subdivision
640,SAM HOUSTON,?,?,?,?,Championship Subdivision
641,SAMFORD,?,?,?,?,Championship Subdivision
642,SAN DIEGO,?,?,?,?,Championship Subdivision
643,SO. EAST LOUISIANA,?,?,?,?,Championship Subdivision
644,SOUTH CAROLINA STATE,?,?,?,?,Championship Subdivision
645,SOUTH DAKOTA,?,?,?,?,Championship Subdivision
646,SOUTH DAKOTA STATE,?,?,?,?,Championship Subdivision
647,SOUTH EASTERN MISSOURI,?,?,?,?,Championship Subdivision
648,SOUTHERN ILLINOIS,?,?,?,?,Championship Subdivision
649,SOUTHERN UNIVERSITY,?,?,?,?,Championship Subdivision
650,SOUTHERN UTAH,?,?,?,?,Championship Subdivision
651,ST.FRANCIS-PA,?,?,?,?,Championship Subdivision
652,STETSON,?,?,?,?,Championship Subdivision
653,STONY BROOK,?,?,?,?,Championship Subdivision
654,TENNESSEE STATE,?,?,?,?,Championship Subdivision
655,TENNESSEE TECH,?,?,?,?,Championship Subdivision
656,TENNESSEE-MARTIN,?,?,?,?,Championship Subdivision
657,TEXAS SOUTHERN,?,?,?,?,Championship Subdivision
658,THE CITADEL,?,?,?,?,Championship Subdivision
659,TOWSON,?,?,?,?,Championship Subdivision
660,VALPARAISO,?,?,?,?,Championship Subdivision
661,VILLANOVA,?,?,?,?,Championship Subdivision
662,VIRGINIA MILITARY INSTITUTE,?,?,?,?,Championship Subdivision
663,WAGNER,?,?,?,?,Championship Subdivision
664,WEBER STATE,?,?,?,?,Championship Subdivision
665,WESTERN CAROLINA,?,?,?,?,Championship Subdivision
666,WESTERN ILLINOIS,?,?,?,?,Championship Subdivision
667,WILLIAM & MARY,?,?,?,?,Championship Subdivision
668,WOFFORD,?,?,?,?,Championship Subdivision
669,YALE,?,?,?,?,Championship Subdivision
670,YOUNGSTOWN STATE,?,?,?,?,Championship Subdivision
671,ALLEN (SC),?,?,?,?,NAIA
672,ARIZONA CHRISTIAN,?,?,?,?,NAIA
673,AVE MARIA-FLA,?,?,?,?,NAIA
674,AVILA,?,?,?,?,NAIA
675,BAKER,?,?,?,?,NAIA
676,BENEDICTINE-KANSAS,?,?,?,?,NAIA
677,BETHANY KANSAS,?,?,?,?,NAIA
678,BETHEL KANSAS,?,?,?,?,NAIA
679,BETHEL-TN.,?,?,?,?,NAIA
680,BLUFIELD,?,?,?,?,NAIA
681,BRIAR CLIFF,?,?,?,?,NAIA
682,CAMPBELLSVILLE,?,?,?,?,NAIA
683,CARROLL-MONTANA,?,?,?,?,NAIA
684,CENTRAL METHODIST,?,?,?,?,NAIA
685,CINCINNATI CHRISTIAN,?,?,?,?,NAIA
686,CLARKE - IOWA,?,?,?,?,NAIA
687,COLLEGE OF IDAHO,?,?,?,?,NAIA
688,CONCORDIA – MICHIGAN,?,?,?,?,NAIA
689,CONCORDIA-NEBRASKA,?,?,?,?,NAIA
690,CULVER-STOCKTON,?,?,?,?,NAIA
691,CUMBERLAND-TN.,?,?,?,?,NAIA
692,DAKOTA STATE-SD.,?,?,?,?,NAIA
693,DAKOTA-WESLEYAN SD.,?,?,?,?,NAIA
694,DICKINSON STATE,?,?,?,?,NAIA
695,DOANE,?,?,?,?,NAIA
696,DORDT,?,?,?,?,NAIA
697,EASTERN OREGON,?,?,?,?,NAIA
698,EDWARD WATERS,?,?,?,?,NAIA
699,EVANGEL,?,?,?,?,NAIA
700,FAULKNER - ALABAMA,?,?,?,?,NAIA
701,FRIENDS,?,?,?,?,NAIA
702,GEORGETOWN-KY.,?,?,?,?,NAIA
703,GRACELAND,?,?,?,?,NAIA
704,GRAND VIEW,?,?,?,?,NAIA
705,HASTINGS,?,?,?,?,NAIA
706,INDIANA WESLEYAN,?,?,?,?,NAIA
707,JAMESTOWN,?,?,?,?,NAIA
708,KANSAS WESLEYAN,?,?,?,?,NAIA
709,KENTUCKY CHRISTIAN,?,?,?,?,NAIA
710,KIESER - FLA,?,?,?,?,NAIA
711,LANGSTON,?,?,?,?,NAIA
712,LAWRENCE TECH (MI),?,?,?,?,NAIA
713,LINDENWOOD - BELLEVILLE,?,?,?,?,NAIA
714,LINSEY WILSON - KY,?,?,?,?,NAIA
715,LYON COLLEGE,?,?,?,?,NAIA
716,MARIAN - INDIANA,?,?,?,?,NAIA
717,MAYVILLE STATE,?,?,?,?,NAIA
718,McPHERSON,?,?,?,?,NAIA
719,MID-AMERICA NAZARENE,?,?,?,?,NAIA
720,MIDLAND - NE,?,?,?,?,NAIA
721,MISSOURI BAPTIST,?,?,?,?,NAIA
722,MISSOURI VALLEY,?,?,?,?,NAIA
723,MONTANA - WESTERN,?,?,?,?,NAIA
724,MONTANA STATE-NORTH,?,?,?,?,NAIA
725,MONTANA TECH,?,?,?,?,NAIA
726,MORNINGSIDE,?,?,?,?,NAIA
727,NORTHWESTERN-IOWA,?,?,?,?,NAIA
728,OLIVET NAZARENE,?,?,?,?,NAIA
729,OTTAWA (AZ),?,?,?,?,NAIA
730,OTTAWA-KANSAS,?,?,?,?,NAIA
731,PANHANDLE STATE - OK,?,?,?,?,NAIA
732,PERU STATE,?,?,?,?,NAIA
733,PIKEVILLE,?,?,?,?,NAIA
734,POINT,?,?,?,?,NAIA
735,PRESENTATION - SD,?,?,?,?,NAIA
736,REINHARDT,?,?,?,?,NAIA
737,ROBERT MORRIS-ILL,?,?,?,?,NAIA
738,ROCKY MOUNTAIN,?,?,?,?,NAIA
739,S W ASSMEMBLY OF GOD,?,?,?,?,NAIA
740,SIENA HEIGHTS,?,?,?,?,NAIA
741,SOUTHEASTERN -FLA,?,?,?,?,NAIA
742,SOUTHERN OREGON,?,?,?,?,NAIA
743,SOUTHWESTERN-KANSAS,?,?,?,?,NAIA
744,ST. ANDREWS- N.C.,?,?,?,?,NAIA
745,ST. THOMAS - FLA,?,?,?,?,NAIA
746,ST.AMBROSE,?,?,?,?,NAIA
747,ST.FRANCIS-ILL,?,?,?,?,NAIA
748,ST.FRANCIS-IND.,?,?,?,?,NAIA
749,ST.MARY-KANSAS,?,?,?,?,NAIA
750,ST.XAVIER,?,?,?,?,NAIA
751,STERLING,?,?,?,?,NAIA
752,TABOR,?,?,?,?,NAIA
753,TAYLOR,?,?,?,?,NAIA
754,TEXAS COLLEGE,?,?,?,?,NAIA
755,TEXAS WESLEYAN,?,?,?,?,NAIA
756,THOMAS MORE,?,?,?,?,NAIA
757,TRINITY INTERNATIONAL-ILL,?,?,?,?,NAIA
758,UNION-KY.,?,?,?,?,NAIA
759,UNIV. OF CUMBERLANDS-KY,?,?,?,?,NAIA
760,VALLEY CITY STATE,?,?,?,?,NAIA
761,WALDORF,?,?,?,?,NAIA
762,WARNER,?,?,?,?,NAIA
763,WAYLAND BAPTIST,?,?,?,?,NAIA
764,WEBBER INTERNATIONAL,?,?,?,?,NAIA
765,WILLIAM PENN,?,?,?,?,NAIA
766,APPRENTICE-NEWPORT NEWS,?,?,?,?,INDEPENDENT
767,LEWIS & CLARK VALLEY,?,?,?,?,INDEPENDENT
768,TRINITY BIBLE,?,?,?,?,INDEPENDENT
769,VIRGINIA - LYNCHBURG,?,?,?,?,INDEPENDENT
